HostStar,HostStarClass,HostStarRadiusSlrRad,HostStarTempK,DistFromSunParsec,HostStarInnerHabitabilityAU,HostStarOuterHabitabilityAU,HostStarColor,HostStarMetallicity,HostStarLuminosity,HostStarMassSlrMass,RightAscension,Declination,HostStarPlanetList,DistFromSunLY,HabitablePlanets,HabitablePlanetsList,Planets,Coordinates
HD 108874,G,1.22,5407.0,68.5,1.0207598570240242,1.4705574313927003,#fff4ea,0.14,4.384921719521327e+26,1.0,12 30 26,+22 52 47,"['HD 108874 b', 'HD 108874 c']",223.31,1,['HD 108874 b'],2,-88.96602644105337 109.22041200216137 -173.4103904215139
HD 109246,G,1.02,5844.0,65.6,0.9969459165778312,1.4362498840759488,#fff4ea,0.1,4.182711183795757e+26,1.01,12 32 07,+74 29 22,['HD 109246 b'],213.856,0,[],1,117.47494386508924 -59.14179113072128 -168.76068243236261
HD 109271,G,,5783.0,62.0,,,#fff4ea,0.1,,1.047,12 33 35,-11 37 18,"['HD 109271 b', 'HD 109271 c']",202.12,0,[],2,117.90664395889213 -11.800258362953768 163.8611587900916
HD 109749 A,S-type binary,,5610.0,59.0,,,,0.25,,1.2,12 37 16,-40 48 43,['HD 109749 A b'],192.34,0,[],1,-131.0727609639365 -140.7817156367572 -5.533599389381552
HD 110014,K,20.9,4445.0,90.0,11.817914110085235,17.0254749915557,#ffd2a1,0.14,5.877550082880304e+28,2.09,12 39 14,-07 59 44,"['HD 110014 b', 'HD 110014 c']",293.4,0,[],2,-10.569215389979618 -40.04781892764877 -290.6039257590235
HD 111232,G,,5494.0,29.0,,,#fff4ea,-0.36,,0.78,12 48 51,-68 25 30,['HD 111232 b'],94.54,0,[],1,-61.203481899720614 -39.6899463417418 60.20989563507779
HD 113337,,1.5,,36.9,,,,0.07,,1.4,13 01 47,+63 36 37,['HD 113337 b'],120.29399999999998,0,[],1,67.32423576520898 53.01621007773339 84.5059952469277
HD 113538,K,0.53,4462.0,15.87,0.3019854468095694,0.4350552580241264,#ffd2a1,-0.24,3.837838612716109e+25,0.585,13 04 57.47691,-52 26 34.5223,"['HD 113538 b', 'HD 113538 c']",51.7362,0,[],2,-3.242220035738013 -29.331008166930726 -42.52508942949666
HD 114386,K,0.76,4819.0,28.04,0.5051012664879893,0.7276740125785486,#ffd2a1,,1.0736719193217844e+26,0.75,13 10 39,-35 03 17,"['HD 114386 b', 'HD 114386 c']",91.4104,0,[],2,77.72335166671155 -20.498352349541733 43.620853198579255
HD 114613,G,,5729.0,20.67,,,#fff4ea,0.19,,1.364,13 12 03.18502,-37 48 10.8901,['HD 114613 b'],67.3842,0,[],1,-66.76353957142605 -6.22236673347719 -6.99286547300627
HD 114729 A,S-type binary,1.46,,35.0,,,,-0.22,,0.93,13 12 44,-31 52 24,['HD 114729 A b'],114.1,0,[],1,-98.89883494295319 -26.623649314316076 -50.41335545847372
HD 114762,S-type binary,1.24,5934.0,39.46,1.2495906924209408,1.8002225168769694,,-0.71,6.571284093411334e+26,0.84,13 12 19,+17 31 01,['HD 114762 b'],128.6396,0,[],1,-29.983524841556136 -4.8023323022786855 -125.06779936706594
HD 114783,K,0.78,5105.0,20.5,0.5817509593118249,0.8380993732747286,#ffd2a1,0.33,1.4242587494646571e+26,0.853,13 12 43.78556,-02 15 54.1335,"['HD 114783 b', 'HD 114783 c']",66.83,0,[],2,41.31781091941144 11.08321235641968 -51.38614832405825
HD 11506,F,1.33,6058.0,51.7,1.3968867294669014,2.012424515615576,#f8f7ff,0.31,8.211775408396403e+26,1.19,01 52 50.535,-19 30 25.11,"['HD 11506 b', 'HD 11506 c']",168.542,0,[],2,-133.2055280790073 8.510740809499778 -103.04136591656312
HD 116029,K,4.6,4951.0,122.4,3.2269682834520728,4.6489310462640026,#ffd2a1,0.18,4.382319867168032e+27,1.33,13 20 39.5420,+24 38 55.310,"['HD 116029 b', 'HD 116029 c']",399.024,0,[],2,220.422902477989 -276.1748585915642 -185.77985350824355
HD 117207,G,1.09,5432.0,33.05,0.9204432836094646,1.3260363851235777,#fff4ea,0.27,3.5654039885100604e+26,1.031,13 29 21.11390,-35 34 15.5929,['HD 117207 b'],107.74299999999998,0,[],1,-16.56341461545312 -54.55486004683251 91.482871494401
HD 11755,K,27.3,4312.5,231.5,14.53020948921299,20.932942647598647,#ffd2a1,-0.74,8.885020443657582e+28,0.9,01 58 50.087,+73 09 08.58,['HD 11755 b'],754.6899999999998,0,[],1,64.19344514433294 467.4689832262592 -589.4536230211646
HD 117618,G,1.19,5861.0,38.0,1.1698802701716124,1.6853877171034504,#fff4ea,0.04,5.759668833797052e+26,1.05,13 32 25,-47 16 16,"['HD 117618 b', 'HD 117618.02']",123.88,1,['HD 117618.02'],2,55.67885483976027 -109.22596150987452 18.180683718137214
HD 118203,G,,5600.0,88.6,,,#fff4ea,0.1,,1.23,13 34 02,+53 43 42,['HD 118203 b'],288.836,0,[],1,210.55942879241834 -175.62759052374162 -91.24680121132995
HD 11964 A,S-type binary,2.18,,32.85,,,,0.17,,1.08,01 57 09.60763,-10 14 32.7336,"['HD 11964 A b', 'HD 11964 A c']",107.09100000000001,0,[],2,38.62032429966879 62.275674327071606 78.1645698064088
HD 11977,K,13.0,4975.0,66.5,9.208322797048618,13.265967922506142,#ffd2a1,-0.16,3.5684182346354024e+28,2.31,01 54 56,-67 38 50,['HD 11977 b'],216.79,0,[],1,-19.988939758516626 -9.877670152184402 215.74495071362173
HD 120084,K,9.12,4892.0,98.0,6.246241157405023,8.998645753049741,#ffd2a1,0.09,1.6419206886395798e+28,2.4,13 42 39,+78 03 51,['HD 120084 b'],319.48,0,[],1,31.714765833971196 282.37709567720293 146.36522139644407
HD 121504,F,,6075.0,44.37,,,#f8f7ff,0.16,,1.18,13 57 17,-56 02 24,['HD 121504 b'],144.6462,0,[],1,-49.79111424839319 116.1732504185201 70.4785369647052
HD 122430,K,22.9,4300.0,135.0,12.117789557137435,17.457490478959848,#ffd2a1,-0.09,6.1796160433318275e+28,1.68,14 02 22,-27 25 47,['HD 122430 b'],440.1,0,[],1,290.7676173126429 30.62689464171721 -329.2264965871264
HD 122562,K,,4958.0,53.02,,,#ffd2a1,0.31,,1.13,14 02 21.1635,+20 52 52.733,['HD 122562 b'],172.8452,0,[],1,76.52464646128128 7.790892438444728 154.8787148065588
HD 12484,G,,5920.0,48.7,,,#fff4ea,0.05,,1.01,02 02 26.7304,+02 48 57.074,['HD 12484 b'],158.762,0,[],1,-104.35014095081807 108.42952602772898 50.82960949418231
HD 125595,K,,4908.0,27.4,,,#ffd2a1,0.02,,0.7559999999999999,14 21 23,-40 23 38,['HD 125595 b'],89.32399999999998,0,[],1,11.78239720099818 -79.72758041975439 -38.615056117702835
HD 125612,G,1.05,5897.0,52.82,1.0449669796335666,1.5054314164942313,#fff4ea,0.24,4.5953629058479925e+26,1.1,14 20 54,-17 28 53,"['HD 125612 b', 'HD 125612 c', 'HD 125612 d']",172.1932,1,['HD 125612 b'],3,-0.8967099914601167 34.658137477162896 168.75119049756708
HD 12648,K,9.2,4835.8,158.4,6.15708999881516,8.870210158840727,#ffd2a1,-0.57,1.5953856573274493e+28,1.2,02 18 59.654,+85 44 10.22,['HD 12648 b'],516.384,0,[],1,310.0431566273071 59.94882098921494 -408.88596477034207
HD 126525,G,,5940.0,38.1,,,#fff4ea,,,,14 27 33,-51 55 59,['HD 126525 b'],124.206,0,[],1,11.924347271232651 1.4086211644279587 -123.68412262278609
HD 12661,G,1.12,5742.0,37.16,1.0568063437287885,1.5224877934014809,#fff4ea,0.29,4.700082736670293e+26,1.07,02 04 34,+25 24 51,"['HD 12661 b', 'HD 12661 c']",121.14159999999998,1,['HD 12661 b'],2,112.07953972388111 -31.536289950207095 33.66022716671429
HD 126614 A,S-type binary,1.09,5585.0,72.6,0.9730247012360762,1.4017877912078756,,0.56,3.984395222612973e+26,1.145,14 26 48.28070,-05 10 40.0074,['HD 126614 A b'],236.676,0,[],1,-106.01347099452846 7.300538251391038 211.60608543529648
HD 128311,K,0.73,4965.0,16.6,0.515006106261194,0.7419434175076429,#ffd2a1,0.08,1.1161933649199484e+26,0.828,14 36 00,+09 44 47,"['HD 128311 b', 'HD 128311 c']",54.11600000000001,0,[],2,-31.465355636975726 40.60041635815348 -17.11401994582911
HD 128356,K,0.85,4875.0,26.03,0.5781215765804429,0.8328707039552256,#ffd2a1,0.17,1.406543074095274e+26,0.65,14 37 04.89,-25 48 09.2,['HD 128356 b'],84.8578,1,['HD 128356 b'],1,53.339236248652725 -39.80583554325252 -52.708429018016716
HD 129445,G,,5940.0,67.61,,,#fff4ea,0.25,,0.99,14 46 03,-68 45 45,['HD 129445 b'],220.4086,0,[],1,-6.252310651410128 206.8580850070167 76.13945313753062
HD 130322,G,0.83,5330.0,30.0,0.6748131281922772,0.9721693634756178,#fff4ea,-0.02,1.9163804240733014e+26,0.79,14 47 33,-00 16 53,['HD 130322 b'],97.8,0,[],1,-37.05416432356406 86.38714264127938 27.17112890632187
HD 131399 Ab,P-type binary,,,98.0,,,,,,,14 54 25.30919,-34 08 34.0412,['HD 131399 Ab'],319.48,0,[],1,249.03296462258317 153.49311214152686 -128.7939269756997
HD 131496,K,4.3,4927.0,110.0,2.9873395780671834,4.303710012096251,#ffd2a1,0.25,3.755639215986473e+27,1.61,14 53 23,+18 14 07,['HD 131496 b'],358.6,0,[],1,-280.7118262551141 -84.60620527266211 -206.7850026371362
HD 131664,G,1.16,5886.0,55.43,1.150136847377922,1.6569443600194091,#fff4ea,0.32,5.5669037751183154e+26,1.1,15 00 06.08,-73 32 07.2,['HD 131664 b'],180.7018,0,[],1,-20.342658456214608 47.92046013484175 173.13083138208788
HD 13189,K,50.39,5150.0,185.0,38.24809672910711,55.102110936844475,#ffd2a1,,6.156506436951114e+29,4.5,02 09 40,+32 18 59,['HD 13189 b'],603.0999999999998,0,[],1,202.3095205069596 315.5734014794868 472.82447252288694
HD 132406,G,,5885.0,71.0,,,#fff4ea,0.18,,1.09,14 56 55,+53 22 56,['HD 132406 b'],231.46,0,[],1,89.02836827126079 213.69600474941902 5.754616958841276
HD 132563 B,S-type binary,,5985.0,96.0,,,,-0.19,,1.01,14 58 21.519,+44 02 35.33,['HD 132563 B b'],312.96,0,[],1,-10.69476591045288 -312.3476009991363 19.041019087897194
HD 133131 A,S-type binary,,5799.0,47.0,,,,-0.306,,0.95,15 03 35.44,-27 50 33.18,"['HD 133131 A b', 'HD 133131 A c']",153.22,0,[],2,-133.12777335498293 40.74813011709669 -64.15204944856028
HD 133131 B,S-type binary,,5805.0,47.0,,,,-0.281,,0.93,15 03 35.44,-27 50 33.18,['HD 133131 B b'],153.22,0,[],1,-133.12777335498293 40.74813011709669 -64.15204944856028
HD 134060,G,,5940.0,24.2,,,#fff4ea,,,,15 10 45,-61 25 20,"['HD 134060 b', 'HD 134060 c']",78.892,0,[],2,0.9868955371040229 12.62726220519518 77.90699145770522
HD 134606,G,,5940.0,26.5,,,#fff4ea,,,,15 15 15,-70 31 11,"['HD 134606 b', 'HD 134606 c', 'HD 134606 d']",86.39,0,[],3,-12.37546982100404 7.147867685224394 -85.2417186119265
HD 134987,G,1.25,5740.0,22.2,1.1786498638847076,1.6980216300814597,#fff4ea,0.25,5.84634312328906e+26,1.07,15 13 28,-25 18 33,"['HD 134987 b', 'HD 134987 c']",72.372,0,[],2,-40.31871374780105 58.784654873553656 -12.708221359781813
HD 136352,G,,5940.0,14.8,,,#fff4ea,,,,15 21 48,-48 19 03,"['HD 136352 b', 'HD 136352 c', 'HD 136352 d']",48.248000000000005,0,[],3,7.846393471782215 15.953395465919849 44.877911433109375
HD 136418,K,3.4,5071.0,98.2,2.5021719470454875,3.604753386440708,#ffd2a1,-0.07,2.634808047786937e+27,1.33,15 19 07,+41 44 00,['HD 136418 b'],320.132,0,[],1,181.54892760300734 86.11338078486008 -249.41396987073057
HD 137388,G,0.82,5240.0,38.0,0.6443583176227127,0.9282946482852102,#fff4ea,0.18,1.74730837171827e+26,0.86,15 35 40,-80 12 17,['HD 137388 b'],123.88,1,['HD 137388 b'],1,1.533047085485719 11.545337372157533 123.39099544164222
HD 13808,K,,5150.0,28.6,,,#ffd2a1,,,,02 12 43,-53 44 38,"['HD 13808 b', 'HD 13808 c']",93.236,0,[],2,16.835797748683788 -86.41476688093205 30.827563040841675
HD 13908,F,1.67,6255.0,71.3,1.8699160607152872,2.6938941027543857,#f8f7ff,0.01,1.471495381771946e+27,1.29,02 18 14.56056,+65 35 39.6988,"['HD 13908 b', 'HD 13908 c']",232.438,1,['HD 13908 c'],2,216.0382834211083 0.678384793596803 86.0597233326349
HD 13931,G,1.23,5829.0,46.75,1.1960359526081006,1.723068894429784,#fff4ea,0.03,6.020092289715545e+26,1.022,02 16 47.3790,+43 46 22.788,['HD 13931 b'],152.405,0,[],1,-139.58222223881356 52.56118295624019 -31.68124752879529
HD 139357,K,11.47,4700.0,118.2,7.251204382890536,10.446445771187912,#ffd2a1,-0.13,2.2127633650284943e+28,1.35,15 35 16.19886,+53 55 29.7129,['HD 139357 b'],385.332,0,[],1,-76.74681240618831 -326.06049973829414 -190.834300745764
HD 141399,G,1.46,5600.0,37.38,1.3103277011467829,1.8877232732279785,#fff4ea,0.35,7.225610127192741e+26,1.07,15 46 53.8133,+46 59 10.542,"['HD 141399 b', 'HD 141399 c', 'HD 141399 d', 'HD 141399 e']",121.8588,1,['HD 141399 d'],4,54.26782146480071 107.88444026758405 16.726325155822373
HD 141937,G,1.06,5925.0,33.46,1.0649607142373427,1.534235385224542,#fff4ea,0.11,4.772894713589673e+26,1.1,15 52 17,-18 26 09,['HD 141937 b'],109.0796,1,['HD 141937 b'],1,77.05242690454162 -63.62261127600984 43.873286888115395
HD 142 A,S-type binary,1.43,6249.0,20.6,1.5981152632564968,2.3023243522287453,,0.04,1.0748079710436618e+27,1.15,00 06 19,-49 04 30,"['HD 142 A b', 'HD 142 A c']",67.156,0,[],2,-0.20844687118889968 24.940197189368618 62.38749719153189
HD 142022 A,S-type binary,0.705,5382.0,35.87,0.5844232922052186,0.8419492689857458,,0.19,1.4373737612576435e+26,0.99,16 10 15,-84 13 53,['HD 142022 A b'],116.9362,0,[],1,76.72360107489624 59.527822626340445 -65.24665347637882
HD 142245,K,5.2,4878.0,109.0,3.5410980173684883,5.101481968455415,#ffd2a1,0.23,5.277042309206015e+27,1.69,15 52 56,+15 25 50,['HD 142245 b'],355.34,1,['HD 142245 b'],1,-295.398883309209 172.1858725135285 97.36130438821056
HD 142415,G,1.03,5834.0,34.2,1.0032775328106338,1.445371525409906,#fff4ea,0.21,4.236008799132101e+26,1.09,15 57 40,-60 12 00,['HD 142415 b'],111.492,1,['HD 142415 b'],1,-77.17952341181321 -59.356912073447944 54.42861588044726
HD 143105,F,,6380.0,49.95,,,#f8f7ff,0.15,,1.51,15 53 36.5585,+68 43 12.413,['HD 143105 b'],162.83700000000002,0,[],1,140.80206495281996 -52.7956819666994 -62.67959302517714
HD 143361,G,,5940.0,59.35,,,#fff4ea,0.29,,0.95,16 01 50,-44 26 04,['HD 143361 b'],193.481,0,[],1,-21.961144231365978 172.73131018847735 -84.57202687836892
HD 145377,F,1.14,6046.0,55.0,1.1925927080945846,1.7181083850870522,#f8f7ff,0.12,5.9854799320349934e+26,1.12,16 11 36.44543,-27 04 41.4286,['HD 145377 b'],179.29999999999995,0,[],1,35.51170542521884 55.20868522732874 -166.94389484105915
HD 145457,K,9.9,4757.0,126.0,6.4113946432404125,9.236574080897302,#ffd2a1,-0.14,1.7298948266055182e+28,1.9,16 10 04,+26 44 34,['HD 145457 b'],410.76,0,[],1,13.176966138940175 9.2888908539087 410.64070977142234
HD 145934,,5.38,,,,,,,,1.7480000000000002,16 13 09.9,+13 14 22.1,['HD 145934 b'],,0,[],1,nan
HD 1461,G,1.095,5765.0,23.25,1.0415107454881876,1.5004521936416215,#fff4ea,0.19,4.5650148000851085e+26,1.02,00 18 41.86724,-08 03 10.8024,"['HD 1461 b', 'HD 1461 c', 'HD 1461 d', 'HD 1461 e']",75.795,1,['HD 1461 d'],4,0.5691275645784808 14.9816474228529 -74.3345272988961
HD 147018,G,,5441.0,42.96,,,#fff4ea,0.1,,0.927,16 23 00,-61 41 20,"['HD 147018 b', 'HD 147018 c']",140.0496,0,[],2,44.24666512769509 37.70724695409047 127.48768895542086
HD 147379,S-type binary,0.57,4090.0,10.735,0.2728804887564101,0.39312520752211216,,0.16,3.1337160964990412e+25,0.58,16 16 42.7462,+67 14 19.832,['HD 147379 b'],34.9961,1,['HD 147379 b'],1,-6.819359252284277 8.020240605138387 -33.39273145407868
HD 147513 A,S-type binary,1.0,,12.9,,,,-0.03,,0.92,16 24 01,-39 11 34,['HD 147513 A b'],42.054,0,[],1,1.8595028178338984 2.655690072844589 -41.94908594864848
HD 147873,G,2.29,5972.0,104.93,2.337362612832679,3.3673208605416947,#fff4ea,-0.03,2.2991476689684464e+27,1.38,16 25 45,-33 32 47,"['HD 147873 b', 'HD 147873 c']",342.0718,0,[],2,-32.09116036726795 -178.8376885933049 -290.0218216175118
HD 148156,F,1.21,6308.0,53.05,1.3779065106853412,1.9850806681997328,#f8f7ff,0.29,7.990136234981883e+26,1.22,16 28 17,-46 19 03,['HD 148156 b'],172.94299999999996,1,['HD 148156 b'],1,52.712735531849376 -107.5271958588076 -124.88897480219067
HD 148427,K,3.22,5052.0,59.3,2.351979694733076,3.3883789559066253,#ffd2a1,0.154,2.327993781689421e+27,1.45,16 28 28,-13 23 59,['HD 148427 b'],193.318,0,[],1,-62.53421957448384 114.0274064734425 -143.1605333671605
HD 149026,F,1.497,6147.0,78.9,1.6188225266365317,2.332156266011184,#f8f7ff,0.36,1.1028416470483956e+27,1.3,16 30 29,+38 20 50,['HD 149026 b'],257.214,0,[],1,-173.2718446208681 109.84477152400817 155.34970635122
HD 149143,G,,5730.0,63.0,,,#fff4ea,0.26,,1.1,16 32 51,+02 05 05,['HD 149143 b'],205.38,0,[],1,100.97734204388311 2.6913162557149777 178.93507292713574
HD 1502,K,4.5,5049.0,159.0,3.2830255887372606,4.7296899890297555,#ffd2a1,0.09,4.5358973258020064e+27,1.61,00 19 17,+14 03 17,['HD 1502 b'],518.3399999999998,0,[],1,4.621723213017625 -42.45565947532415 516.8272163194297
HD 150433,G,,5940.0,29.6,,,#fff4ea,,,,16 41 08,-02 51 26,['HD 150433 b'],96.49600000000001,0,[],1,-46.582119370226515 80.10561713501657 -27.085251824791666
HD 150706,G,0.87,5741.0,27.2,0.8206261630210661,1.1822348754428966,#fff4ea,-0.13,2.834036228684572e+26,0.94,16 31 17,+79 47 23,['HD 150706 b'],88.67200000000001,0,[],1,26.13830302811541 -9.987951272363077 -84.18610154619454
HD 152079,G,,5940.0,85.17,,,#fff4ea,0.16,,1.023,16 53 30,-46 19 51,['HD 152079 b'],277.6542,0,[],1,89.44917945371954 -173.1786046554584 -197.92386932905436
HD 152581,K,2.8,5155.0,186.0,2.1294447828074317,3.0677840909883884,#ffd2a1,-0.46,1.9083034970997416e+27,0.927,16 53 43,+11 58 25,['HD 152581 b'],606.36,0,[],1,-254.76631381510876 433.89136071080014 -338.9066711789679
HD 153950,F,1.34,6076.0,49.5,1.4157655530798483,2.0396222881072474,#f8f7ff,-0.01,8.435238423370377e+26,1.12,17 04 30.86989,-43 18 35.1765,['HD 153950 b'],161.36999999999995,1,['HD 153950 b'],1,11.200365856990574 -125.79470417109385 100.57590658822451
HD 154088,K,,5150.0,17.8,,,#ffd2a1,,,,17 04 28,-28 34 58,['HD 154088 b'],58.028,0,[],1,-4.246672540147277 55.15276513446286 17.624379012487037
HD 154345,G,,5468.0,18.262,,,#fff4ea,-0.105,,0.893,17 02 36.4037,+47 04 54.764,['HD 154345 b'],59.53412,0,[],1,22.522835248097724 55.08336605129963 2.5015467698240226
HD 154672,G,1.27,5714.0,65.8,1.18668432459553,1.7095964738845644,#fff4ea,0.26,5.9263199043213536e+26,1.06,17 10 05,-56 26 57,['HD 154672 b'],214.508,0,[],1,212.68957657506866 -19.144081695036043 21.318802932296002
HD 154857,G,2.31,5508.0,64.2,2.005630177846763,2.889410611479997,#fff4ea,-0.31,1.6928418660950191e+27,1.7180000000000002,17 11 15,-56 40 50,"['HD 154857 b', 'HD 154857 c']",209.292,0,[],2,203.35785758538142 41.623481734327044 -27.536310385782983
HD 155233,K,5.03,4845.0,75.1,3.379142918974697,4.868161396671487,#ffd2a1,0.1,4.805380709832318e+27,1.5,17 11 04.36474,-20 39 16.4509,['HD 155233 b'],244.826,0,[],1,-56.1425457063602 -8.92124488571234 -238.2555829030604
HD 155358,G,,5900.0,43.0,,,#fff4ea,-0.51,,0.92,17 09 35,+33 21 21,"['HD 155358 b', 'HD 155358 c']",140.17999999999998,0,[],2,-49.43655387268711 10.784717145440236 130.80140943750285
HD 156279,G,,5453.0,36.52,,,#fff4ea,0.14,,0.93,17 12 23.2036,+63 21 07.532,"['HD 156279 b', 'HD 156279 c']",119.0552,0,[],2,91.38297245927613 48.28208360064956 59.20926342641374
HD 156411,G,2.16,5900.0,55.1,2.151834107626549,3.1000392661601555,#fff4ea,-0.12,1.9486428749994283e+27,1.25,17 19 51,-48 32 58,['HD 156411 b'],179.62599999999998,1,['HD 156411 b'],1,18.31212943239715 -18.47125847140412 177.81997883409625
HD 156668,K,0.72,4850.0,24.5,0.4846932662706646,0.6982732321962296,#ffd2a1,0.05,9.88663844525958e+25,0.772,17 17 40,+29 13 38,['HD 156668 b'],79.86999999999998,0,[],1,10.790168456506347 -45.01832736646575 -65.13264735441865
HD 156846,S-type binary,2.12,5969.0,49.0,2.161673165146294,3.1142139019023407,,0.17,1.966503584792297e+27,1.35,17 20 34.31129,-19 20 01.4991,['HD 156846 b'],159.73999999999995,0,[],1,-115.99655218177863 80.9426504239968 -74.39384629547699
HD 157172,G,,5940.0,31.9,,,#fff4ea,,,,17 22 35,-19 36 58,['HD 157172 b'],103.994,0,[],1,-74.51962138715446 7.957456004084693 -72.17088264342318
HD 158038,K,4.8,4897.0,103.0,3.2942189260976216,4.745815667683847,#ffd2a1,0.28,4.566879954374605e+27,1.65,17 25 45,+27 18 12,['HD 158038 b'],335.78,0,[],1,146.8195010414652 120.01484932108934 277.3028801699035
HD 159243,F,1.12,6123.0,69.2,1.201704131016817,1.7312347542292656,#f8f7ff,0.05,6.077287583464488e+26,1.125,17 33 21.54580,+05 42 02.6391,"['HD 159243 b', 'HD 159243 c']",225.592,0,[],2,160.29122623842466 -99.16485701258097 -124.15171043940106
HD 159868,G,,5395.0,52.7,,,#fff4ea,,,1.09,17 39 00,-43 08 44,"['HD 159868 b', 'HD 159868 c']",171.80200000000002,0,[],2,75.45310343554179 86.97538511065949 127.61804875520964
HD 1605,K,3.8,4757.0,84.6,2.460939358011472,3.5453516674151264,#ffd2a1,0.21,2.5486870009370146e+27,1.31,00 20 31.51872,+30 58 29.2948,"['HD 1605 b', 'HD 1605 c']",275.79599999999994,1,['HD 1605 c'],2,101.49558774803965 -227.93890592128207 -117.80889407304582
HD 16141 A,S-type binary,1.0,5533.0,35.9,0.8761376690940602,1.2622075127108228,,0.02,3.230422941690644e+26,1.01,02 35 19,-03 33 38,['HD 16141 A b'],117.034,0,[],1,-45.632810412444115 -96.74072514876984 47.63382597001724
HD 16175,F,1.87,6022.0,58.34,1.9407702284582773,2.7959701416998977,#f8f7ff,0.37,1.5851228364685396e+27,1.34,02 37 01.9111,+42 03 45.468,['HD 16175 b'],190.1884,1,['HD 16175 b'],1,-0.7770385820015812 -65.03995661186762 -178.81706597637978
HD 162020,K,0.71,4830.0,31.26,0.4740275932644992,0.6829077330613514,#ffd2a1,0.01,9.45631488808661e+25,0.75,17 50 38,-40 19 06,['HD 162020 b'],101.9076,0,[],1,71.76297271029604 51.550595546128605 -50.86981256349563
HD 163296,,,,122.0,,,,,,2.3,17 56 21.29,-21 57 21.9,"['HD 163296 b', 'HD 163296 c']",397.72,0,[],2,-184.5230572082435 352.26360946408755 -13.949979536506033
HD 163607,G,1.63,5543.0,69.0,1.433271199590063,2.0648417933510985,#fff4ea,0.21,8.645128007040875e+26,1.09,17 53 40,+56 23 31,"['HD 163607 b', 'HD 163607 c']",224.94,1,['HD 163607 c'],2,-41.87920343969051 -218.30908723505277 -35.12604796725901
HD 16417,G,,5936.0,25.5,,,#fff4ea,0.19,,1.18,02 36 59,-34 34 41,['HD 16417 b'],83.13,0,[],1,-2.0049554357305475 -83.12816939694508 1.707887088616352
HD 164509,G,1.06,5922.0,52.0,1.0638825460308314,1.5326821224688931,#fff4ea,0.21,4.763235430645408e+26,1.13,18 01 31,+00 06 16,['HD 164509 b'],169.51999999999995,1,['HD 164509 b'],1,165.24142466547804 33.870909644118775 17.681728246036077
HD 164595,G,,5790.0,28.93,,,#fff4ea,-0.04,,0.99,18 00 38.89431,+29 34 18.9202,['HD 164595 b'],94.3118,0,[],1,-25.456746088286955 0.3802123799714757 -90.8573703401108
HD 164604,K,,5150.0,38.0,,,#ffd2a1,-0.18,,0.8,18 03 07,-28 33 38,['HD 164604 b'],123.88,0,[],1,-97.98262851999613 -67.34955850278841 34.99177449450872
HD 164922,G,0.999,5293.0,22.04,0.8009774486482548,1.1539279600215842,#fff4ea,0.16,2.699947114333828e+26,0.8740000000000001,18 02 30.8624,+26 18 46.805,"['HD 164922 b', 'HD 164922 c']",71.8504,0,[],2,24.62199970412498 11.942545444213998 66.4723051677231
HD 165155,G,0.95,5426.0,64.98,0.8004499774421601,1.153168058761135,#fff4ea,0.09,2.6963922690902724e+26,1.02,18 05 57.35,-29 55 02.1,['HD 165155 b'],211.8348,1,['HD 165155 b'],1,3.9089654120264585 14.762813618189917 211.38549889259153
HD 1666,F,1.93,6317.0,110.6,2.2040938124658767,3.1753271967983348,#f8f7ff,0.37,2.0444421708712228e+27,1.5,00 20 52.33959,-19 55 52.4083,['HD 1666 b'],360.556,0,[],1,82.09841063971308 -148.27996562350856 -318.4309950721377
HD 166724,K,,5150.0,42.3,,,#ffd2a1,-0.09,,0.81,18 14 00,-42 34 31,['HD 166724 b'],137.89799999999997,0,[],1,-22.12522656883204 -4.059021302045747 136.11799060834574
HD 167042,K,4.3,5020.0,50.23,3.1011794856878865,4.467713446389556,#ffd2a1,0.05,4.047328775544201e+27,1.72,18 10 31.64008,+54 17 11.5922,['HD 167042 b'],163.74979999999996,0,[],1,80.77186513757293 -66.22356049983036 -126.21440997552044
HD 168443,G,1.51,5591.0,37.38,1.3508494316219346,1.9461008940494489,#fff4ea,0.04,7.679422619110724e+26,0.995,18 20 04,-09 35 34,"['HD 168443 b', 'HD 168443 c']",121.8588,0,[],2,-15.261081235888561 119.22807854037856 20.385866149973214
HD 168746,G,1.12,5610.0,43.12,1.0087760382402555,1.453292945874713,#fff4ea,-0.06,4.2825672881738796e+26,0.88,18 21 49,-11 55 21,['HD 168746 b'],140.57119999999998,0,[],1,60.2022189519204 -95.01253152158878 84.42475145456454
HD 1690,K,16.7,4393.0,319.0,9.223375507618174,13.287653606203776,#ffd2a1,-0.32,3.580094252322186e+28,1.09,00 21 13,-08 16 52,['HD 1690 b'],1039.9399999999996,0,[],1,-240.43152486757552 357.720720698939 -946.9644691115603
HD 169830,F,1.84,6300.0,36.6,2.0900175575654587,3.010983268855928,#f8f7ff,0.21,1.8382922185467066e+27,1.41,18 27 49.48353,-29 49 00.7073,"['HD 169830 b', 'HD 169830 c']",119.316,1,['HD 169830 c'],2,-2.96731506369607 -1.6056538521504675 119.32555433815924
HD 170469,G,1.22,5810.0,64.97,1.1785909664495104,1.6979367795062503,#fff4ea,0.3,5.845758851364801e+26,1.14,18 29 11,+11 41 44,['HD 170469 b'],211.8022,0,[],1,91.55382198331996 101.25534691032833 -162.07553300902393
