HostStar,HostStarClass,HostStarRadiusSlrRad,HostStarTempK,DistFromSunParsec,HostStarInnerHabitabilityAU,HostStarOuterHabitabilityAU,HostStarColor,HostStarMetallicity,HostStarLuminosity,HostStarMassSlrMass,RightAscension,Declination,HostStarPlanetList,DistFromSunLY,HabitablePlanets,HabitablePlanetsList,Planets,Coordinates
Gamma Leonis,S-type binary,31.88,4330.0,38.5,17.10586806307366,24.6435645244854,,-0.51,1.2314163507891673e+29,1.23,10 19 58.427,+19 50 28.53,['Gamma Leonis b'],125.51,0,[],1,-33.87281699983308 -59.79222146203747 105.09710350497906
Gliese 1214,M,0.2213,3250.0,14.55,0.06689584569790956,0.09637348328642688,#ffcc6f,0.1,1.88327168476778e+24,0.17600000000000002,17 15 18.94,+04 57 49.7,['Gliese 1214 b'],47.433,0,[],1,4.075805684458652 11.079993484597452 -45.96379389168883
Gliese 15 A,S-type binary,0.3863,3567.0,3.587,0.1406636684353819,0.20264707856721806,,-0.32,8.326808150795319e+24,0.375,00 18 22.88532,+44 01 22.6282,['Gliese 15 A b'],11.69362,0,[],1,-1.3651264587064682 -11.609578422152303 0.4755026767858347
Gliese 163,,,,15.0,,,,,,0.4,04 09 15.66350,-53 22 23.3050,"['Gliese 163 b', 'Gliese 163 c', 'Gliese 163 d']",48.9,0,[],3,-42.51465701226047 24.150644710292646 -1.6598908333576057
Gliese 176,M,0.53,3520.0,9.42,0.18793696499758047,0.2707513413745826,#ffcc6f,-0.1,1.48641164180261e+25,0.49,04 42 55.77497,+18 57 29.4043,['Gliese 176 b'],30.7092,0,[],1,-1.4204594671776678 30.509844137153234 3.3304289879033377
Gliese 179,M,0.38,3370.0,12.29,0.12350780713321392,0.17793149129540015,#ffcc6f,0.3,6.41953397575078e+24,0.35700000000000004,04 52 05.731,+06 28 35.64,['Gliese 179 b'],40.0654,0,[],1,-28.316126465855692 -27.306255154422452 7.703395161853048
Gliese 221,K,,4040.0,20.0,,,#ffd2a1,-0.07,,0.637,05 53 00,-05 59 41,"['Gliese 221 b', 'Gliese 221 c']",65.19999999999999,0,[],2,60.006329029073825 17.606827713588014 18.55693899211185
Gliese 3021 A,S-type binary,0.9,5540.0,17.62,0.7905203449395647,1.1388629361926772,,0.1,2.6299093723661282e+26,0.9,00 16 12,-79 51 04,['Gliese 3021 A b'],57.4412,0,[],1,9.069173831591932 11.627848776885235 55.544588648371644
Gliese 317,M,,3510.0,15.1,,,#ffcc6f,0.36,,0.42,08 40 59,-23 27 23,"['Gliese 317 b', 'Gliese 317 c']",49.226000000000006,0,[],2,0.6742136948514487 5.144957022323969 48.97549967768847
Gliese 328,K,,3900.0,19.8,,,#ffd2a1,0.0,,0.69,08 55 08,+01 32 56,['Gliese 328 b'],64.548,0,[],1,-0.37138304001822775 1.3650272898170193 64.56347093948959
Gliese 3293,M,0.404,3466.0,18.2,0.13889592182561902,0.2001003748582918,#ffcc6f,0.02,8.11883413002029e+24,0.42,04 28 35.72,-25 10 08.9,"['Gliese 3293 b', 'Gliese 3293 d', 'Gliese 3293 c']",59.332,2,"['Gliese 3293 b', 'Gliese 3293 c']",3,-22.850944325987893 -54.74333814313503 -2.1601050041648575
Gliese 3341,M,0.439,3546.0,23.2,0.1579766846534779,0.2275890710291573,#ffcc6f,-0.09,1.0502692989614035e+25,0.47,05 15 46.68,-31 17 46.6,['Gliese 3341 b'],75.63199999999998,0,[],1,-69.05996608132921 -29.577573290206832 9.032030097492633
Gliese 3470,M,0.48,3652.0,30.7,0.1832119460191036,0.2639442439711556,#ffcc6f,0.17,1.4126099312772508e+25,0.51,07 59 06,+15 23 30,['Gliese 3470 b'],100.08200000000001,0,[],1,-87.85428526520674 -36.57337926823552 31.14534240122744
Gliese 3634,M,0.43,3314.0,19.8,0.135152622239321,0.19470759125039352,#ffcc6f,,7.687119501093518e+24,0.45,10 58 35,-31 08 39,['Gliese 3634 b'],64.548,0,[],1,17.657848148469114 59.65023007569688 17.334747050381424
Gliese 433,M,,3600.0,9.04,,,#ffcc6f,-0.22,,0.48,11 35 27,-32 32 24,"['Gliese 433 b', 'Gliese 433 c']",29.470399999999994,0,[],2,-6.061003488772182 -11.203250609450345 -26.5911531639203
Gliese 436,M,0.449,3479.0,9.748,0.15552714905235654,0.2240601481812389,#ffcc6f,-0.32,1.0179515359690146e+25,0.445,11 42 11.0932,+26 42 23.653,['Gliese 436 b'],31.778479999999995,0,[],1,-0.08943636550628208 0.03603084040820214 31.793579662236
Gliese 504,G,1.36,5978.0,17.56,1.3909186884180342,2.0038266587789493,#fff4ea,0.13,8.141757531272565e+26,1.16,13 16 46.51596,+09 25 26.9590,['Gliese 504 b'],57.24559999999999,0,[],1,16.780181497964413 54.75973044737657 0.03566296042554191
Gliese 581,M,0.3,3498.0,6.21,0.1050538269185694,0.1513457693386827,#ffcc6f,-0.135,4.644494308516471e+24,0.31,15 19 26,-07 43 20,"['Gliese 581 b', 'Gliese 581 c', 'Gliese 581 d', 'Gliese 581 e', 'Gliese 581 f', 'Gliese 581 g']",20.2446,1,['Gliese 581 g'],6,-2.306532255654748 -1.3269252260781572 -20.078753716681728
Gliese 649,,,3700.0,10.34,,,,0.08,,0.54,16 58 09,+25 44 39,['Gliese 649 b'],33.7084,0,[],1,-27.549969717502368 -1.8898273354399138 19.359092478789286
