PlanetIdentifier,AgeGyr,AscendingNodeDeg,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarAgeGyr,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,InclinationDeg,LastUpdated,ListsPlanetIsOn,LongitudeDeg,PeriastronDeg,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar
HD 70573 b,,,+01 51 34,RV,2007.0,45.7,0.4,,1.0,-0.18,,5737.0,,15/05/24,Controversial,,,851.8,6.1,,08 22 50,1.76,167.4,0,HD 70573
HAT-P-39 b,,,+17 49 48,transit,2012.0,642.0,0.0,,1.4040000000000001,0.19,1.625,6430.0,87.0,12/07/16,Confirmed planets,,,3.5438699999999996,0.599,1.571,07 35 02,0.0509,1601.9,0,HAT-P-39
HD 179949 b,,,-24 10 45,RV,2000.0,27.0,0.022000000000000002,,1.28,0.22,1.19,6260.0,,06/09/06,Confirmed planets,,,3.0925,0.95,,19 15 33,0.045,1419.4,0,HD 179949
Kepler-905 b,,,+46 42 48,transit,2016.0,,,,0.95,0.09,0.86,5461.0,,16/05/10,Confirmed planets,,,5.08274652,,0.126,19 20 12,,,0,Kepler-905
Kepler-316 c,,,+44 11 02,transit,2014.0,344.01,,,0.587,,0.52,4204.0,,14/02/26,Confirmed planets,,,6.8277660000000004,,0.10570999999999998,19 23 18,,,0,Kepler-316
Kepler-316 b,,,+44 11 02,transit,2014.0,344.01,,,0.587,,0.52,4204.0,,14/02/26,Confirmed planets,,,2.240508,,0.0966,19 23 18,,,0,Kepler-316
EPIC 220674823 b,,,+10 47 41,,2016.0,,0.0,,0.93,-0.28,0.83,5814.0,80.2,16/11/03,Confirmed planets,,,0.571308,,0.13,00 52 19,0.011000000000000001,,0,EPIC 220674823
EPIC 220674823 c,,,+10 47 41,,2016.0,,0.0,,0.93,-0.28,0.83,5814.0,87.2,16/11/03,Confirmed planets,,,13.341245,,0.226,00 52 19,0.064,,0,EPIC 220674823
Kepler-108 b,,0.0,+46 03 44.98,transit,2014.0,313.0,0.13,,0.96,,0.97,,90.59,17/11/27,"""Confirmed planets,  Planets in binary systems,  S-type""",,-154.0,49.18351,0.308,0.585,19 38 14.139,,,2,Kepler-108
Kepler-108 c,,30.0,+46 03 44.98,transit,2014.0,313.0,0.14,,0.96,,0.97,,90.416,17/11/27,"""Confirmed planets,  Planets in binary systems,  S-type""",,-60.0,190.33900000000003,0.17,0.513,19 38 14.139,,,2,Kepler-108
