PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,SurfaceTempK,DiscoveryMethod,DiscoveryYear,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,ListsPlanetIsOn,HostStar
Kepler-722 c,0,,0.252,105.144749,,,,transit,2016.0,1.03,1.05,0.02,5863.0,Confirmed planets,Kepler-722
Kepler-1488 b,0,,0.166,39.8189932,,,,transit,2016.0,1.05,1.31,0.06,5820.0,Confirmed planets,Kepler-1488
Kepler-1064 b,0,,0.138,16.54080322,,,,transit,2016.0,0.85,0.79,0.0,5153.0,Confirmed planets,Kepler-1064
Kepler-26 b,0,0.016097,0.26792,12.282972000000001,,,,transit,2014.0,0.634,0.5710000000000001,,4486.0,Confirmed planets,Kepler-26
Kepler-26 c,0,0.019492,0.26792,17.251204,,,,transit,2014.0,0.634,0.5710000000000001,,4486.0,Confirmed planets,Kepler-26
Kepler-26 d,0,,0.09751,3.5439190000000003,,,,transit,2014.0,0.634,0.5710000000000001,,4486.0,Confirmed planets,Kepler-26
Kepler-26 e,0,,0.21961999999999998,46.827915000000004,,,,transit,2014.0,0.634,0.5710000000000001,,4486.0,Confirmed planets,Kepler-26
HD 2039 b,0,4.9,,1183.0,2.2,0.67,188.3,RV,2002.0,0.98,1.21,0.1,5947.0,Confirmed planets,HD 2039
Kepler-478 b,0,,0.242,13.2217576,,,,transit,2016.0,0.85,0.8,-0.03,5210.0,Confirmed planets,Kepler-478
HD 59686 b,0,5.25,,303.0,0.9109999999999999,,728.2,RV,2003.0,,11.62,,5150.0,Confirmed planets,HD 59686
HIP 57050 b,0,0.298,,41.397,0.16350599999999998,0.314,218.6,RV,2010.0,0.34,0.4,0.32,3190.0,Confirmed planets,HIP 57050
Fomalhaut b,2,,,320000.0,177.0,0.8,,imaging,2008.0,1.92,1.84,,8590.0,"Controversial, Planets in binary systems, S-type",Fomalhaut
Kepler-1047 b,0,,0.18600000000000003,56.1886887,,,,transit,2016.0,1.08,1.13,0.29,5754.0,Confirmed planets,Kepler-1047
Kepler-1047 c,0,,0.08800000000000001,3.18897601,,,,transit,2016.0,1.08,1.13,0.29,5754.0,Confirmed planets,Kepler-1047
KOI-830 b,0,1.27,1.08,3.52563254,0.0433,,1070.0,transit,2014.0,0.87,0.8,0.09,5150.0,Confirmed planets,KOI-830
CoRoT-3 b,0,21.66,1.01,4.2568,0.057,0.0,1554.7,transit,2008.0,1.37,1.56,-0.02,6740.0,Confirmed planets,CoRoT-3
HD 30562 b,0,1.3730000000000002,,1159.0,2.315,0.778,208.7,RV,2009.0,1.23,1.53,0.29,5861.0,Confirmed planets,HD 30562
Kepler-1120 b,0,,0.12300000000000001,2.94902905,,,,transit,2016.0,0.78,0.74,-0.04,4904.0,Confirmed planets,Kepler-1120
HD 132563 B b,2,1.49,,1544.0,2.62,0.22,158.5,RV,2011.0,1.01,,-0.19,5985.0,"Confirmed planets, Planets in binary systems, S-type",HD 132563 B
Kepler-230 b,0,,0.38822,32.625555,,,,transit,2014.0,0.9179999999999999,0.8170000000000001,,5588.0,Confirmed planets,Kepler-230
Kepler-230 c,0,,0.18591,91.77324200000001,,,,transit,2014.0,0.9179999999999999,0.8170000000000001,,5588.0,Confirmed planets,Kepler-230
WASP-71 b,0,2.242,1.46,2.9036747000000003,0.046310000000000004,0.0,1888.1,transit,2012.0,1.5590000000000002,2.26,,6050.0,Confirmed planets,WASP-71
HD 34445 b,0,0.79,,1049.0,2.07,0.27,,RV,2010.0,1.07,1.38,0.14,5836.0,Confirmed planets,HD 34445
Omega Serpentis b,0,1.7,,277.02,1.1,0.106,,RV,2013.0,2.17,12.3,-0.24,4770.0,Confirmed planets,Omega Serpentis
Kepler-96 b,0,,0.24331799999999998,16.2385,,,,transit,2014.0,1.0,1.02,0.04,5690.0,Confirmed planets,Kepler-96
Kepler-1227 b,0,,0.204,94.2887577,,,,transit,2016.0,0.97,0.95,-0.04,5747.0,Confirmed planets,Kepler-1227
