PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,SurfaceTempK,DiscoveryMethod,DiscoveryYear,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,ListsPlanetIsOn,HostStar
HD 143761 b,0,1.045,,39.8458,0.2196,0.037000000000000005,,RV,2016.0,0.889,1.3619999999999999,-0.31,5627.0,Confirmed planets,HD 143761
HD 143761 c,0,0.079,,102.54,0.4123,0.05,,RV,2016.0,0.889,1.3619999999999999,-0.31,5627.0,Confirmed planets,HD 143761
KOI-1843.03,0,0.0014,0.054000000000000006,0.17689129999999997,0.0048,,,transit,2012.0,0.46,0.45,0.0,3584.0,Controversial,KOI-1843
KOI-1843.01,0,,0.114,4.194525,0.039,,,transit,,0.46,0.45,0.0,3584.0,Controversial,KOI-1843
KOI-1843.02,0,,0.071,6.356006,0.052000000000000005,,,transit,,0.46,0.45,0.0,3584.0,Controversial,KOI-1843
Kepler-9 b,0,0.25,0.84,19.22418,0.14300000000000002,0.0626,707.2,transit,2010.0,1.07,1.02,0.12,5777.0,Confirmed planets,Kepler-9
Kepler-9 c,0,0.17,0.82,39.03106,0.22899999999999998,0.0684,557.9,transit,2010.0,1.07,1.02,0.12,5777.0,Confirmed planets,Kepler-9
Kepler-9 d,0,0.022000000000000002,0.147,1.592851,0.0271,,1601.5,transit,2010.0,1.07,1.02,0.12,5777.0,Confirmed planets,Kepler-9
GJ 160.2 b,0,0.0321,,5.2354,0.053,0.06,,RV,2014.0,0.69,,,4347.0,Controversial,GJ 160.2
Kepler-566 b,0,,0.192,18.42794624,,,,transit,2016.0,0.83,0.79,-0.01,5132.0,Confirmed planets,Kepler-566
WASP-124 b,0,0.6,1.24,3.37265,0.0449,,1400.0,transit,2016.0,1.07,,-0.02,6050.0,Confirmed planets,WASP-124
HD 240210 b,0,5.21,,501.75,1.33,0.15,,RV,2009.0,0.82,,-0.18,4297.0,Confirmed planets,HD 240210
OGLE-05-390L b,0,0.017,,3500.0,2.1,,,microlensing,2005.0,0.22,,,3840.0,Confirmed planets,OGLE-05-390L
Kepler-1343 b,0,,0.172,3.35183158,,,,transit,2016.0,0.95,0.93,-0.16,5759.0,Confirmed planets,Kepler-1343
Kepler-1011 b,0,,0.256,5.75322197,,,,transit,2016.0,0.91,0.88,0.08,5416.0,Confirmed planets,Kepler-1011
WASP-82 b,0,1.24,1.67,2.705782,0.0447,,2190.0,transit,2013.0,1.63,2.18,0.12,6490.0,Confirmed planets,WASP-82
Gliese 1214 b,0,0.0195,0.2525,1.58040417,0.01488,0.0,604.0,transit,2009.0,0.17600000000000002,0.2213,0.1,3250.0,Confirmed planets,Gliese 1214
Kepler-153 b,0,,0.2661,18.870227,,,,transit,2014.0,0.82,0.892,,5404.0,Confirmed planets,Kepler-153
Kepler-153 c,0,,0.23056,46.90232,,,,transit,2014.0,0.82,0.892,,5404.0,Confirmed planets,Kepler-153
HD 4203 b,0,1.82,,437.05,1.1735,0.52,263.9,RV,2001.0,1.13,1.33,0.45299999999999996,5702.0,Confirmed planets,HD 4203
HD 4203 c,0,2.17,,6700.0,6.95,0.24,,RV,2014.0,1.13,1.33,0.45299999999999996,5702.0,Confirmed planets,HD 4203
HD 179079 b,0,0.08,,14.475999999999999,0.11,0.115,925.0,RV,2009.0,1.087,1.48,0.29,5724.0,Confirmed planets,HD 179079
Kepler-1368 b,0,,0.147,0.67564949,,,,transit,2016.0,1.07,1.08,0.1,5906.0,Confirmed planets,Kepler-1368
HD 187123 b,0,0.5074,,3.0965886,0.04213,0.0093,,RV,1998.0,1.037,1.143,0.121,5815.0,Confirmed planets,HD 187123
HD 187123 c,0,1.818,,3324.0,4.417,0.28,,RV,2007.0,1.037,1.143,0.121,5815.0,Confirmed planets,HD 187123
Kepler-1111 b,0,,0.17800000000000002,8.79617863,,,,transit,2016.0,1.1,1.15,0.02,6077.0,Confirmed planets,Kepler-1111
Kepler-1289 b,0,,0.136,7.99019627,,,,transit,2016.0,1.1,1.17,0.02,6080.0,Confirmed planets,Kepler-1289
Kepler-431 b,0,,0.0682,6.803,0.0719,,,transit,2015.0,1.071,1.092,,6004.0,Confirmed planets,Kepler-431
Kepler-431 c,0,,0.0596,8.703,0.0847,,,transit,2015.0,1.071,1.092,,6004.0,Confirmed planets,Kepler-431
Kepler-431 d,0,,0.099,11.922,0.1045,,,transit,2015.0,1.071,1.092,,6004.0,Confirmed planets,Kepler-431
Kepler-131 b,0,0.05074,0.21962399999999999,16.092,,,,transit,2014.0,1.02,1.03,0.12,5685.0,Confirmed planets,Kepler-131
Kepler-131 c,0,0.025952,0.076549,25.5169,,,,transit,2014.0,1.02,1.03,0.12,5685.0,Confirmed planets,Kepler-131
Kepler-548 b,0,,1.07,4.45419434,,,,transit,2016.0,0.93,0.9,0.0,5535.0,Confirmed planets,Kepler-548
HD 114729 A b,2,0.84,,1135.0,2.08,0.32,,RV,2002.0,0.93,1.46,-0.22,,"Confirmed planets, Planets in binary systems, S-type",HD 114729 A
CoRoT-24 b,0,,0.33,5.1134,0.055999999999999994,0.0,1070.0,transit,2014.0,0.91,0.86,0.3,4950.0,Confirmed planets,CoRoT-24
CoRoT-24 c,0,0.08800000000000001,0.44,11.759,0.098,0.0,850.0,transit,2014.0,0.91,0.86,0.3,4950.0,Confirmed planets,CoRoT-24
Kepler-1105 b,0,,0.179,4.42157218,,,,transit,2016.0,0.71,0.68,0.28,4299.0,Confirmed planets,Kepler-1105
Kepler-211 c,0,,0.11756,6.04045,,,,transit,2014.0,0.914,0.816,,5123.0,Confirmed planets,Kepler-211
Kepler-211 b,0,,0.11482,4.138575,,,,transit,2014.0,0.914,0.816,,5123.0,Confirmed planets,Kepler-211
Kepler-294 c,0,,0.24695999999999999,6.6264,,,,transit,2014.0,0.9940000000000001,0.976,,5913.0,Confirmed planets,Kepler-294
Kepler-294 b,0,,0.1613,3.7012120000000004,,,,transit,2014.0,0.9940000000000001,0.976,,5913.0,Confirmed planets,Kepler-294
HD 164595 b,0,0.051,,40.0,0.23,0.08800000000000001,,RV,2015.0,0.99,,-0.04,5790.0,Confirmed planets,HD 164595
Kepler-257 c,0,,0.49301000000000006,6.581484,,,,transit,2014.0,0.74,1.037,,5180.0,Confirmed planets,Kepler-257
Kepler-257 b,0,,0.23785,2.3826669999999996,,,,transit,2014.0,0.74,1.037,,5180.0,Confirmed planets,Kepler-257
Kepler-257 d,0,,0.45109,24.664551,,,,transit,2014.0,0.74,1.037,,5180.0,Confirmed planets,Kepler-257
Kepler-214 c,0,,0.19411,28.7798,,,,transit,2014.0,1.15,1.3519999999999999,,6169.0,Confirmed planets,Kepler-214
Kepler-214 b,0,,0.23785,15.660544,,,,transit,2014.0,1.15,1.3519999999999999,,6169.0,Confirmed planets,Kepler-214
Kepler-1112 b,0,,0.26899999999999996,14.36267939,,,,transit,2016.0,1.34,1.54,0.04,6496.0,Confirmed planets,Kepler-1112
Kepler-130 c,0,,0.25608000000000003,27.508653000000002,0.17600000000000002,0.08,,transit,2014.0,0.965,1.127,,5884.0,Confirmed planets,Kepler-130
Kepler-130 b,0,,0.09295,8.457458,0.08,0.15,,transit,2014.0,0.965,1.127,,5884.0,Confirmed planets,Kepler-130
Kepler-130 d,0,,0.14945,87.517905,0.381,,,transit,2014.0,0.965,1.127,,5884.0,Confirmed planets,Kepler-130
WASP-108 b,0,0.892,1.284,2.6755463,0.0397,,1590.0,transit,2014.0,1.167,1.215,0.05,6000.0,Confirmed planets,WASP-108
K2-34 b,0,1.78,1.35,2.995607,0.04419,0.0,,transit,2016.0,1.281,1.526,0.24,6132.0,Confirmed planets,K2-34
Kepler-815 b,0,,0.36700000000000005,8.57503552,,,,transit,2016.0,1.25,3.42,-0.03,5028.0,Confirmed planets,Kepler-815
Kepler-1145 b,0,,0.125,3.97076766,,,,transit,2016.0,0.79,0.75,-0.13,5064.0,Confirmed planets,Kepler-1145
38 Vir b,0,4.51,,825.9,1.82,0.03,,,2016.0,1.18,1.45,0.07,6557.0,Confirmed planets,38 Vir
Kepler-1575 b,0,,0.11699999999999999,2.55314213,,,,transit,2016.0,0.95,0.92,-0.07,5667.0,Confirmed planets,Kepler-1575
Kepler-1380 b,0,,0.128,10.310824499999999,,,,transit,2016.0,0.96,0.94,0.1,5570.0,Confirmed planets,Kepler-1380
Kepler-189 c,0,,0.21689,20.134866,,,,transit,2014.0,0.8240000000000001,0.75,,5235.0,Confirmed planets,Kepler-189
Kepler-189 b,0,,0.11027,10.399931,,,,transit,2014.0,0.8240000000000001,0.75,,5235.0,Confirmed planets,Kepler-189
Kepler-327 b,0,,0.10115,2.549575,,,,transit,2014.0,0.547,0.49200000000000005,,3799.0,Confirmed planets,Kepler-327
Kepler-327 d,0,,0.15766,13.969457,,,,transit,2014.0,0.547,0.49200000000000005,,3799.0,Confirmed planets,Kepler-327
Kepler-327 c,0,,0.09386,5.212333,,,,transit,2014.0,0.547,0.49200000000000005,,3799.0,Confirmed planets,Kepler-327
Kepler-1071 b,0,,0.212,6.1799844,,,,transit,2016.0,0.86,0.81,0.01,5215.0,Confirmed planets,Kepler-1071
Kepler-101 b,0,0.161,0.515,3.4876812000000004,0.0474,0.086,,transit,2014.0,1.17,1.56,,5667.0,Confirmed planets,Kepler-101
Kepler-101 c,0,,0.11199999999999999,6.02976,0.0684,,,transit,2014.0,1.17,1.56,,5667.0,Confirmed planets,Kepler-101
Kepler-156 c,0,,0.23238000000000003,15.906801000000002,,,,transit,2014.0,0.737,0.807,,5094.0,Confirmed planets,Kepler-156
Kepler-156 b,0,,0.2096,4.973456,,,,transit,2014.0,0.737,0.807,,5094.0,Confirmed planets,Kepler-156
HIP 11952 b,0,2.93,,290.0,0.81,0.27,372.6,RV,2012.0,0.83,1.6,-1.9,6040.0,Controversial,HIP 11952
HIP 11952 c,0,0.78,,6.95,0.07,0.35,1263.2,RV,2012.0,0.83,1.6,-1.9,6040.0,Controversial,HIP 11952
HD 122430 b,0,3.71,,344.95,1.02,0.68,868.8,RV,2003.0,1.68,22.9,-0.09,4300.0,Controversial,HD 122430
Kepler-827 b,0,,0.502,51.92927591,,,,transit,2016.0,0.93,0.91,-0.06,5602.0,Confirmed planets,Kepler-827
Kepler-344 b,0,,0.23785,21.963945000000002,,,,transit,2014.0,0.93,0.976,,5774.0,Confirmed planets,Kepler-344
Kepler-344 c,0,,0.26883,125.59680900000001,,,,transit,2014.0,0.93,0.976,,5774.0,Confirmed planets,Kepler-344
Kepler-859 b,0,,0.276,20.38177573,,,,transit,2016.0,0.81,0.77,-0.02,5020.0,Confirmed planets,Kepler-859
Kepler-227 b,0,,0.28342,9.488014999999999,,,,transit,2014.0,0.92,1.091,,5854.0,Confirmed planets,Kepler-227
Kepler-227 c,0,,0.27704,54.418693999999995,,,,transit,2014.0,0.92,1.091,,5854.0,Confirmed planets,Kepler-227
Kepler-843 b,0,,0.231,2.05387982,,,,transit,2016.0,1.02,1.03,0.05,5830.0,Confirmed planets,Kepler-843
Kepler-404 b,0,,0.11574000000000001,11.829851,,,,transit,2014.0,0.925,0.884,,5654.0,Confirmed planets,Kepler-404
Kepler-404 c,0,,0.15674000000000002,14.751166,,,,transit,2014.0,0.925,0.884,,5654.0,Confirmed planets,Kepler-404
Kepler-1483 b,0,,0.136,9.5085156,,,,transit,2016.0,1.25,1.4,0.04,6337.0,Confirmed planets,Kepler-1483
Gliese 86 b,2,3.91,,15.76491,0.113,0.0416,,RV,2000.0,0.8,0.855,-0.24,5188.0,"Confirmed planets, Planets in binary systems, S-type",Gliese 86
Kepler-1314 b,0,,0.456,5.42474928,,,,transit,2016.0,0.6,0.59,-0.22,4188.0,Confirmed planets,Kepler-1314
Kepler-1099 b,0,,0.252,2.16845259,,,,transit,2016.0,1.01,1.0,-0.02,5837.0,Confirmed planets,Kepler-1099
HD 145377 b,0,5.76,,103.95,0.45,0.307,,RV,2008.0,1.12,1.14,0.12,6046.0,Confirmed planets,HD 145377
HD 75289 A b,2,0.42,,3.5098,0.046,0.024,,RV,1999.0,1.05,1.25,0.29,,"Confirmed planets, Planets in binary systems, S-type",HD 75289 A
HD 5608 b,0,1.4,,792.6,1.9,0.19,,RV,2012.0,1.55,5.5,0.06,4854.0,Confirmed planets,HD 5608
HATS-28 b,0,0.672,1.194,3.1810781,0.04131,0.10099999999999999,,transit,2016.0,0.929,0.922,0.01,5498.0,Confirmed planets,HATS-28
Kepler-1187 b,0,,0.233,18.87064068,,,,transit,2016.0,1.06,1.09,-0.01,5975.0,Confirmed planets,Kepler-1187
HD 68988 b,0,1.9,,6.276,0.071,0.14,1017.7,RV,2001.0,1.2,1.14,0.24,5767.0,Confirmed planets,HD 68988
Kepler-1612 b,0,,0.092,3.91795101,,,,transit,2016.0,0.96,0.94,0.03,5643.0,Confirmed planets,Kepler-1612
HD 183263 b,0,3.635,,625.1,1.486,0.3728,,RV,2004.0,1.121,1.117,0.302,5936.0,Confirmed planets,HD 183263
HD 183263 c,0,6.9,,4684.0,5.69,0.051,,RV,2008.0,1.121,1.117,0.302,5936.0,Confirmed planets,HD 183263
HD 154672 b,0,5.02,,163.91,0.6,0.61,357.1,RV,2008.0,1.06,1.27,0.26,5714.0,Confirmed planets,HD 154672
Kepler-761 b,0,,0.18100000000000002,10.12804789,,,,transit,2016.0,0.95,0.93,-0.09,5706.0,Confirmed planets,Kepler-761
Kepler-1417 b,0,,0.08900000000000001,20.3505213,,,,transit,2016.0,1.02,1.02,0.02,5839.0,Confirmed planets,Kepler-1417
Kepler-196 b,0,,0.17315,20.739886,,,,transit,2014.0,,0.782,,5128.0,Confirmed planets,Kepler-196
Kepler-196 c,0,,0.20413,47.427737,,,,transit,2014.0,,0.782,,5128.0,Confirmed planets,Kepler-196
Kepler-695 b,0,,0.8220000000000001,3.04033042,,,,transit,2016.0,0.84,0.8,-0.01,5181.0,Confirmed planets,Kepler-695
beta Ursae Minoris b,0,6.1,,522.3,1.4,0.19,,RV,2014.0,1.4,38.3,-0.27,4126.0,Confirmed planets,beta Ursae Minoris
Kepler-225 c,0,,0.16768,18.794234,,,,transit,2014.0,,0.48,,3682.0,Confirmed planets,Kepler-225
Kepler-225 b,0,,0.10935999999999998,6.738975,,,,transit,2014.0,,0.48,,3682.0,Confirmed planets,Kepler-225
Kepler-409 b,0,,0.108445,68.9584,,,,transit,2014.0,0.92,0.89,0.08,5460.0,Confirmed planets,Kepler-409
OGLE-TR-10 b,0,0.68,1.72,3.10129,0.045160000000000006,0.0,1702.0,transit,2004.0,1.2770000000000001,1.52,0.28,6075.0,Confirmed planets,OGLE-TR-10
Kepler-128 b,0,0.00409,0.10298,15.09,,,,transit,2013.0,1.17,1.55,,6090.0,Confirmed planets,Kepler-128
Kepler-128 c,0,0.00472,0.10298,22.804000000000002,,,,transit,2013.0,1.17,1.55,,6090.0,Confirmed planets,Kepler-128
WASP-11 b,2,0.46,1.045,3.7224690000000002,0.0439,0.0,943.2,transit,2008.0,0.82,0.81,0.13,4974.0,"Confirmed planets, Planets in binary systems, S-type",WASP-11
Kepler-834 b,0,,0.18,13.32388301,,,,transit,2016.0,0.7,0.66,-0.13,4554.0,Confirmed planets,Kepler-834
HATS-18 b,0,1.98,1.337,0.8378434000000001,0.01761,0.166,,transit,2016.0,1.037,1.02,0.28,5600.0,Confirmed planets,HATS-18
Kepler-654 b,0,,0.185,13.72465129,,,,transit,2016.0,1.04,1.11,0.04,5865.0,Confirmed planets,Kepler-654
KELT-16 b,0,2.75,1.415,0.9689950999999999,0.02044,,,transit,2016.0,1.2109999999999999,1.36,-0.002,6236.0,Confirmed planets,KELT-16
Kepler-603 b,0,,0.23600000000000002,21.05358596,,,,transit,2016.0,1.01,1.01,0.03,5808.0,Confirmed planets,Kepler-603
Kepler-603 c,0,,0.58,127.9075774,,,,transit,2016.0,1.01,1.01,0.03,5808.0,Confirmed planets,Kepler-603
Kepler-603 d,0,,0.11800000000000001,6.2171292000000005,,,,transit,2016.0,1.01,1.01,0.03,5808.0,Confirmed planets,Kepler-603
Kepler-579 b,0,,0.17800000000000002,9.66857723,,,,transit,2016.0,0.99,0.96,0.13,5636.0,Confirmed planets,Kepler-579
HD 106315 b,0,0.025,0.19899999999999998,9.5521,0.09012,0.3,,,2017.0,1.07,1.18,-0.24,6290.0,Confirmed planets,HD 106315
HD 106315 c,0,0.063,0.35200000000000004,21.0576,0.1526,0.23,,,2017.0,1.07,1.18,-0.24,6290.0,Confirmed planets,HD 106315
Kepler-1049 b,0,,0.085,3.27346074,,,,transit,2016.0,0.51,0.49,-0.33,3864.0,Confirmed planets,Kepler-1049
EPIC 206011691 b,0,,0.142,9.32414,0.0731,,,transit,2015.0,0.64,0.6,-0.11,4043.0,Confirmed planets,EPIC 206011691
EPIC 206011691 c,0,,0.171,15.5012,0.1026,,,transit,2015.0,0.64,0.6,-0.11,4043.0,Confirmed planets,EPIC 206011691
Kepler-794 b,0,,0.188,11.13125132,,,,transit,2016.0,1.19,1.38,0.34,5839.0,Confirmed planets,Kepler-794
Kepler-756 b,0,,0.1,1.22486632,,,,transit,2016.0,0.82,0.79,-0.19,5282.0,Confirmed planets,Kepler-756
Kepler-784 b,0,,0.141,31.5922646,,,,transit,2016.0,1.0,1.32,0.07,5674.0,Confirmed planets,Kepler-784
WASP-62 b,0,0.57,1.39,4.411953,0.0567,0.0,1305.2,transit,2011.0,1.25,1.28,0.04,6230.0,Confirmed planets,WASP-62
Kepler-150 c,0,,0.33626999999999996,7.381997999999999,,,,transit,2014.0,0.97,0.9390000000000001,,5560.0,Confirmed planets,Kepler-150
Kepler-150 d,0,,0.25425,12.56093,,,,transit,2014.0,0.97,0.9390000000000001,,5560.0,Confirmed planets,Kepler-150
Kepler-150 e,0,,0.28433,30.826557,,,,transit,2014.0,0.97,0.9390000000000001,,5560.0,Confirmed planets,Kepler-150
Kepler-150 b,0,,0.11391,3.428054,,,,transit,2014.0,0.97,0.9390000000000001,,5560.0,Confirmed planets,Kepler-150
Kepler-663 b,0,,0.23199999999999998,4.99678284,,,,transit,2016.0,0.86,0.82,0.03,5264.0,Confirmed planets,Kepler-663
WASP-14 b,2,7.341,1.281,2.2437661,0.036000000000000004,0.087,1718.8,transit,2008.0,1.2109999999999999,1.306,,6462.0,"Confirmed planets, Planets in binary systems, S-type",WASP-14
Kepler-708 b,0,,0.261,3.16789194,,,,transit,2016.0,0.97,0.96,0.01,5692.0,Confirmed planets,Kepler-708
HD 2952 b,0,1.6,,311.6,1.2,0.129,,RV,2013.0,2.5,12.02,0.0,4844.0,Confirmed planets,HD 2952
WASP-127 b,0,0.18,1.37,4.178062000000001,0.052000000000000005,,,transit,2016.0,1.08,1.39,,5620.0,Confirmed planets,WASP-127
Kepler-699 b,0,,1.2590000000000001,27.80756293,,,,transit,2016.0,0.81,0.78,-0.26,5330.0,Confirmed planets,Kepler-699
Kepler-791 b,0,,0.272,14.5539759,,,,transit,2016.0,1.3,1.47,0.06,6383.0,Confirmed planets,Kepler-791
Kepler-173 c,0,,0.22145,8.005777,,,,transit,2014.0,1.06,0.9490000000000001,,6031.0,Confirmed planets,Kepler-173
Kepler-173 b,0,,0.11756,4.263742,,,,transit,2014.0,1.06,0.9490000000000001,,6031.0,Confirmed planets,Kepler-173
Kepler-611 b,0,,0.147,2.4370333,,,,transit,2016.0,1.01,1.01,0.06,5761.0,Confirmed planets,Kepler-611
KOI-1299 b,2,4.87,1.12,52.500969999999995,0.3034,0.535,,transit,2014.0,1.3530000000000002,4.16,-0.07,4850.0,"Confirmed planets, Planets in binary systems, S-type",KOI-1299
KOI-1299 c,2,2.43,,406.2,,0.498,,RV,2014.0,1.3530000000000002,4.16,-0.07,4850.0,"Controversial, Planets in binary systems, S-type",KOI-1299
Kepler-34 (AB) b,1,0.22,0.764,288.822,1.0896,0.182,,transit,2012.0,,,,,"Confirmed planets, Planets in binary systems, P-type",Kepler-34 (AB)
Rho Coronae Borealis b,0,169.7,,39.8449,0.24,0.057,,RV,1997.0,1.0,,,5823.0,Controversial,Rho Coronae Borealis
Kepler-260 b,0,,0.18317,8.187399000000001,,,,transit,2014.0,0.9,0.862,,5250.0,Confirmed planets,Kepler-260
Kepler-260 c,0,,0.15857000000000002,76.050178,,,,transit,2014.0,0.9,0.862,,5250.0,Confirmed planets,Kepler-260
Kepler-906 b,0,,0.188,41.6979976,,,,transit,2016.0,1.06,1.02,-0.09,6035.0,Confirmed planets,Kepler-906
KELT-10 b,0,0.679,1.399,4.166286,0.0525,0.0,1377.0,transit,2015.0,1.112,1.209,0.09,5948.0,Confirmed planets,KELT-10
Gliese 3634 b,0,0.022000000000000002,,2.64561,0.0287,0.08,565.4,RV,2011.0,0.45,0.43,,3314.0,Confirmed planets,Gliese 3634
Kepler-504 b,0,,0.142,9.54927542,,,,transit,2016.0,0.33,0.33,-0.31,3519.0,Confirmed planets,Kepler-504
HD 156279 b,0,9.71,,131.05,0.495,0.708,327.8,RV,2011.0,0.93,,0.14,5453.0,Confirmed planets,HD 156279
Kepler-864 b,0,,0.214,5.83376092,,,,transit,2016.0,1.0,1.0,0.04,5754.0,Confirmed planets,Kepler-864
Kepler-247 c,0,,0.37272,9.439452000000001,,,,transit,2014.0,0.773,0.768,,5100.0,Confirmed planets,Kepler-247
Kepler-247 d,0,,0.35905,20.477912,,,,transit,2014.0,0.773,0.768,,5100.0,Confirmed planets,Kepler-247
Kepler-247 b,0,,0.14945,3.33616,,,,transit,2014.0,0.773,0.768,,5100.0,Confirmed planets,Kepler-247
Kepler-942 b,0,,0.19,44.96417488,,,,transit,2016.0,0.81,0.75,0.09,4861.0,Confirmed planets,Kepler-942
Kepler-166 b,0,,0.20686999999999997,7.650253999999999,,,,transit,2014.0,0.879,0.742,,5413.0,Confirmed planets,Kepler-166
Kepler-166 c,0,,0.21689,34.260281,,,,transit,2014.0,0.879,0.742,,5413.0,Confirmed planets,Kepler-166
Kepler-166 d,0,,0.154,1.55400393,,,,transit,2016.0,0.879,0.742,,5413.0,Confirmed planets,Kepler-166
Kepler-819 b,0,,0.24600000000000002,33.1995648,,,,transit,2016.0,0.86,0.81,-0.06,5279.0,Confirmed planets,Kepler-819
Kepler-554 b,0,,0.38299999999999995,1.90220856,,,,transit,2016.0,0.93,0.92,0.14,5447.0,Confirmed planets,Kepler-554
Kepler-8 b,0,0.59,1.42,3.5225400000000002,0.0483,0.0,1519.5,transit,2010.0,1.13,1.45,0.05,6251.0,Confirmed planets,Kepler-8
HAT-P-56 b,0,2.18,1.466,2.7908327,0.0423,,1840.0,transit,2015.0,1.296,1.4280000000000002,,6566.0,Confirmed planets,HAT-P-56
Kepler-266 b,0,,0.226,6.61833,,,,transit,2014.0,1.06,1.028,,5885.0,Confirmed planets,Kepler-266
Kepler-266 c,0,,0.3545,107.723601,,,,transit,2014.0,1.06,1.028,,5885.0,Confirmed planets,Kepler-266
Kepler-920 b,0,,0.21600000000000003,6.53192704,,,,transit,2016.0,0.89,0.85,0.0,5403.0,Confirmed planets,Kepler-920
Kepler-920 c,0,,0.33899999999999997,100.8274113,,,,transit,2016.0,0.89,0.85,0.0,5403.0,Confirmed planets,Kepler-920
Kepler-890 b,0,,0.7929999999999999,52.75875577,,,,transit,2016.0,1.09,1.13,0.09,5954.0,Confirmed planets,Kepler-890
HD 12661 b,0,2.3,,263.6,0.83,0.377,291.4,RV,2000.0,1.07,1.12,0.29,5742.0,Confirmed planets,HD 12661
HD 12661 c,0,1.57,,1708.0,2.56,0.031,167.5,RV,2002.0,1.07,1.12,0.29,5742.0,Confirmed planets,HD 12661
Kepler-213 b,0,,0.14762999999999998,2.46236,,,,transit,2014.0,0.976,1.195,,5696.0,Confirmed planets,Kepler-213
Kepler-213 c,0,,0.21324,4.822962,,,,transit,2014.0,0.976,1.195,,5696.0,Confirmed planets,Kepler-213
HD 128311 b,0,1.83,,460.1,,0.3,177.7,RV,2002.0,0.828,0.73,0.08,4965.0,Confirmed planets,HD 128311
HD 128311 c,0,3.2,,910.7,,0.12,140.7,RV,2005.0,0.828,0.73,0.08,4965.0,Confirmed planets,HD 128311
WASP-49 b,0,0.37799999999999995,1.115,2.7817387000000005,0.0379,0.0,1369.0,transit,2011.0,0.938,0.976,-0.23,5600.0,Confirmed planets,WASP-49
Kepler-44 b,0,1.0,1.09,3.2467292999999997,0.0446,,,transit,2011.0,1.12,1.35,0.42,5800.0,Confirmed planets,Kepler-44
HD 72892 b,0,5.45,,39.475,0.228,0.423,,RV,2016.0,1.02,1.22,0.25,5688.0,Confirmed planets,HD 72892
Kepler-1043 b,0,,0.22699999999999998,38.5053398,,,,transit,2016.0,0.92,0.9,-0.11,5629.0,Confirmed planets,Kepler-1043
Kepler-1306 b,0,,0.17,16.29595382,,,,transit,2016.0,0.98,0.97,0.0,5727.0,Confirmed planets,Kepler-1306
Kepler-821 b,0,,0.11699999999999999,1.92279873,,,,transit,2016.0,0.84,0.8,-0.03,5191.0,Confirmed planets,Kepler-821
WASP-138 b,0,1.22,,3.634433,0.0494,,,transit,2016.0,1.22,1.36,-0.09,6272.0,Confirmed planets,WASP-138
Kepler-242 b,0,,0.23785,8.20395,,,,transit,2014.0,0.72,0.85,,5020.0,Confirmed planets,Kepler-242
Kepler-242 c,0,,0.18225999999999998,14.496481,,,,transit,2014.0,0.72,0.85,,5020.0,Confirmed planets,Kepler-242
Kepler-518 b,0,,0.188,8.51203588,,,,transit,2016.0,0.96,0.88,-0.23,5842.0,Confirmed planets,Kepler-518
Kepler-1069 b,0,,0.14300000000000002,23.8990296,,,,transit,2016.0,0.99,0.98,0.04,5722.0,Confirmed planets,Kepler-1069
Kepler-1475 b,0,,0.261,82.177374,,,,transit,2016.0,1.18,1.28,0.03,6214.0,Confirmed planets,Kepler-1475
Kepler-706 b,0,,1.175,41.40831347,,,,transit,2016.0,0.87,0.84,-0.06,5394.0,Confirmed planets,Kepler-706
Kepler-170 b,0,,0.29162,7.930592,,,,transit,2014.0,1.089,1.035,,5679.0,Confirmed planets,Kepler-170
Kepler-170 c,0,,0.26063000000000003,16.665863,,,,transit,2014.0,1.089,1.035,,5679.0,Confirmed planets,Kepler-170
Kepler-1065 b,0,,0.33299999999999996,3.60930891,,,,transit,2016.0,0.94,0.93,-0.01,5635.0,Confirmed planets,Kepler-1065
Kepler-1065 c,0,,0.14300000000000002,2.37030743,,,,transit,2016.0,0.94,0.93,-0.01,5635.0,Confirmed planets,Kepler-1065
CVSO 30 b,0,6.2,1.91,0.448413,0.00838,,,transit,2012.0,0.39,1.39,,3740.0,Confirmed planets,CVSO 30
CVSO 30 c,0,4.7,1.63,,662.0,,1600.0,imaging,2016.0,0.39,1.39,,3740.0,Confirmed planets,CVSO 30
HD 175167 b,0,7.8,,1290.0,2.4,0.54,154.0,RV,2010.0,1.102,,0.19,5940.0,Confirmed planets,HD 175167
Kepler-725 b,0,,0.948,39.64317811,,,,transit,2016.0,0.88,0.84,-0.01,5363.0,Confirmed planets,Kepler-725
Kepler-1394 b,0,,0.124,3.93766373,,,,transit,2016.0,1.64,2.55,0.06,6481.0,Confirmed planets,Kepler-1394
Kepler-795 b,0,,0.15,29.619342100000004,,,,transit,2016.0,0.94,0.96,-0.02,5631.0,Confirmed planets,Kepler-795
Kepler-94 b,0,0.034099000000000004,0.319867,2.50806,,,,transit,2014.0,0.81,0.76,0.34,4781.0,Confirmed planets,Kepler-94
Kepler-94 c,0,9.83346,,820.3,,,,RV,2014.0,0.81,0.76,0.34,4781.0,Confirmed planets,Kepler-94
TYC 3667-1280-1 b,0,5.4,,26.468000000000004,0.21,0.036000000000000004,,RV,2016.0,1.87,6.26,-0.08,5130.0,Confirmed planets,TYC 3667-1280-1
