,PlanetIdentifier,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,ListsPlanetIsOn,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar,HostStarLuminosity,HostStarInnerHabitabilityAU,HostStarOuterHabitabilityAU,HostStarClass,HostStarColor
0,KOI-1843.03,+40 13 14.7,transit,2012.0,,,0.52,0.07,0.5,3687.0,Controversial,0.17689129999999995,0.0014,0.054000000000000006,19 00 03.14,0.0048,,0,KOI-1843,1.5923893491672733e+25,0.19452135768921477,0.2802371450504052,M,#ffcc6f
1,Kepler-974 b,+40 13 14.7,transit,,,,0.52,0.07,0.5,3687.0,Confirmed planets,4.19449651,,0.14,19 00 03.14,0.039,,0,Kepler-974,1.5923893491672733e+25,0.19452135768921477,0.2802371450504052,M,#ffcc6f
2,KOI-1843.02,+40 13 14.7,transit,,,,0.52,0.07,0.5,3687.0,Controversial,6.356006,,0.071,19 00 03.14,0.052000000000000005,,0,KOI-1843,1.5923893491672733e+25,0.19452135768921477,0.2802371450504052,M,#ffcc6f
3,Kepler-9 b,+38 24 03,transit,2010.0,650.0,0.0626,1.07,0.12,1.02,5777.0,Confirmed planets,19.22418,0.25,0.84,19 02 17,0.14300000000000002,707.2,0,Kepler-9,3.9941697545732144e+26,0.9742174839087185,1.4035061732653407,G,#fff4ea
4,Kepler-9 c,+38 24 03,transit,2010.0,650.0,0.0684,1.07,0.12,1.02,5777.0,Confirmed planets,39.03106,0.17,0.82,19 02 17,0.229,557.9,0,Kepler-9,3.9941697545732144e+26,0.9742174839087185,1.4035061732653407,G,#fff4ea
5,Kepler-9 d,+38 24 03,transit,2010.0,650.0,,1.07,0.12,1.02,5777.0,Confirmed planets,1.592851,0.022,0.147,19 02 17,0.0271,1601.5,0,Kepler-9,3.9941697545732144e+26,0.9742174839087185,1.4035061732653407,G,#fff4ea
6,GJ 160.2 b,-20 51 11.2391,RV,2014.0,43.25,0.06,0.69,,,4347.0,Controversial,5.2354,0.0321,,04 06 34.84136,0.053,,0,GJ 160.2,,,,K,#ffd2a1
7,Kepler-566 b,+47 48 52,transit,2016.0,,,0.83,-0.01,0.79,5132.0,Confirmed planets,18.42794624,,0.192,19 26 13,,,0,Kepler-566,1.4921671624330123e+26,0.5954583631709095,0.8578469411981444,K,#ffd2a1
8,WASP-124 b,-30 44 58.8,transit,2016.0,433.0,,1.07,-0.02,,6050.0,Confirmed planets,3.37265,0.6,1.24,22 10 51.43,0.0449,1400.0,0,WASP-124,,,,F,#f8f7ff
9,HD 240210 b,+57 01 46.035,RV,2009.0,143.0,0.15,0.82,-0.18,,4297.0,Confirmed planets,501.75,5.21,,23 10 29.2303,1.33,,0,HD 240210,,,,K,#ffd2a1
10,OGLE-05-390L b,-30 22 38,microlensing,2005.0,6500.0,,0.22,,,3840.0,Confirmed planets,3500.0,0.017,,17 54 19,2.1,,0,OGLE-05-390L,,,,K,#ffd2a1
11,Kepler-1343 b,+50 43 31,transit,2016.0,,,0.95,-0.16,0.93,5759.0,Confirmed planets,3.35183158,,0.172,19 37 11,,,0,Kepler-1343,3.279222734506555e+26,0.882730470839817,1.2717054308883529,G,#fff4ea
12,Kepler-1011 b,+46 49 26,transit,2016.0,,,0.91,0.08,0.88,5416.0,Confirmed planets,5.75322197,,0.256,19 49 36,,,0,Kepler-1011,2.2966598174682427e+26,0.7387389470872732,1.0642640783951207,G,#fff4ea
13,WASP-82 b,+01 53 38,transit,2013.0,200.0,,1.63,0.12,2.18,6490.0,Confirmed planets,2.705782,1.24,1.67,04 50 39,0.0447,2190.0,0,WASP-82,2.9060861148387213e+27,2.6278277819894957,3.785779433461694,F,#f8f7ff
14,Gliese 1214 b,+04 57 49.7,transit,2009.0,14.55,0.0,0.17600000000000002,0.1,0.2213,3250.0,Confirmed planets,1.58040417,0.0195,0.2525,17 15 18.94,0.01488,604.0,0,Gliese 1214,1.8832716847677798e+24,0.06689584569790956,0.09637348328642688,M,#ffcc6f
15,CoRoT-30 b,+06 50 09,transit,2017.0,960.0,0.006999999999999999,0.97,0.02,0.92,5650.0,Confirmed planets,9.06005,2.84,1.02,18 30 24,0.084,,0,CoRoT-30,2.972940045415071e+26,0.8404961637866384,1.2108605870503069,G,#fff4ea
16,Kepler-153 b,+48 15 25,transit,2014.0,626.1,,0.82,,0.892,5404.0,Confirmed planets,18.870227,,0.2661,18 49 50,,,0,Kepler-153,2.3388791111698986e+26,0.7454981115358685,1.0740016669586698,G,#fff4ea
17,Kepler-153 c,+48 15 25,transit,2014.0,626.1,,0.82,,0.892,5404.0,Confirmed planets,46.90232,,0.23056,18 49 50,,,0,Kepler-153,2.3388791111698986e+26,0.7454981115358685,1.0740016669586698,G,#fff4ea
18,HD 4203 b,+20 26 56.137,RV,2001.0,78.92,0.52,1.13,0.453,1.33,5702.0,Confirmed planets,437.05,1.82,,00 44 41.2002,1.1735,,0,HD 4203,6.445087812025226e+26,1.2375338287976432,1.7828527993292786,G,#fff4ea
19,HD 4203 c,+20 26 56.137,RV,2014.0,78.92,0.182,1.13,0.453,1.33,5702.0,Confirmed planets,7053.0,1.51,,00 44 41.2002,7.5,,0,HD 4203,6.445087812025226e+26,1.2375338287976432,1.7828527993292786,G,#fff4ea
20,HD 179079 b,-02 38 18,RV,2009.0,63.69,0.115,1.087,0.29,1.48,5724.0,Confirmed planets,14.476,0.08,,19 11 10,0.11,925.0,0,HD 179079,8.104731581755338e+26,1.3877523714598454,1.9992651050491772,G,#fff4ea
21,Kepler-1368 b,+41 38 41,transit,2016.0,,,1.07,0.1,1.08,5906.0,Confirmed planets,0.67564949,,0.147,19 39 04,,,0,Kepler-1368,4.891454144076713e+26,1.0781064723833382,1.5531738183925987,G,#fff4ea
22,HD 187123 b,+34 25 10.2810,RV,1998.0,48.3,0.0093,1.037,0.121,1.143,5815.0,Confirmed planets,3.0965886,0.5074,,19 46 58.11299,0.04213,,0,HD 187123,5.148823943985658e+26,1.1061058292756762,1.5935110848602347,G,#fff4ea
23,HD 187123 c,+34 25 10.2810,RV,2007.0,48.3,0.295,1.037,0.121,1.143,5815.0,Confirmed planets,3380.0,1.8,,19 46 58.11299,4.46,,0,HD 187123,5.148823943985658e+26,1.1061058292756762,1.5935110848602347,G,#fff4ea
24,Kepler-1111 b,+45 48 46,transit,2016.0,,,1.1,0.02,1.15,6077.0,Confirmed planets,8.79617863,,0.17800000000000002,19 41 51,,,0,Kepler-1111,6.21683485862003e+26,1.215422650693591,1.7509983361526413,F,#f8f7ff
25,Kepler-1289 b,+41 02 26,transit,2016.0,,,1.1,0.02,1.17,6080.0,Confirmed planets,7.99019627,,0.136,19 45 33,,,0,Kepler-1289,6.447669168221445e+26,1.2377816295965705,1.7832097934879536,F,#f8f7ff
26,KIC 5095269(AB) b,+40 14 06,,2017.0,,0.0604,,,,,Confirmed planets,237.70817,7.697999999999999,,19 22 12,,,0,KIC 5095269(AB),,,,nan,nan
27,Kepler-431 b,+43 13 40.0,transit,2015.0,,,1.071,,1.092,6004.0,Confirmed planets,6.803,,0.0682,18 44 26.96,0.0719,,0,Kepler-431,5.341026294187486e+26,1.1265617927538618,1.6229809635022547,F,#f8f7ff
28,Kepler-431 c,+43 13 40.0,transit,2015.0,,,1.071,,1.092,6004.0,Confirmed planets,8.703,,0.0596,18 44 26.96,0.0847,,0,Kepler-431,5.341026294187486e+26,1.1265617927538618,1.6229809635022547,F,#f8f7ff
29,Kepler-431 d,+43 13 40.0,transit,2015.0,,,1.071,,1.092,6004.0,Confirmed planets,11.922,,0.099,18 44 26.96,0.1045,,0,Kepler-431,5.341026294187486e+26,1.1265617927538618,1.6229809635022547,F,#f8f7ff
30,Kepler-131 b,+40 56 32,transit,2014.0,226.3,,1.02,0.12,1.03,5685.0,Confirmed planets,16.092,0.05074,0.219624,19 14 07,,,0,Kepler-131,3.819557308178349e+26,0.9526846665984172,1.372484925420815,G,#fff4ea
31,Kepler-131 c,+40 56 32,transit,2014.0,226.3,,1.02,0.12,1.03,5685.0,Confirmed planets,25.5169,0.025952,0.076549,19 14 07,,,0,Kepler-131,3.819557308178349e+26,0.9526846665984172,1.372484925420815,G,#fff4ea
32,Kepler-548 b,+45 26 23,transit,2016.0,,,0.93,0.0,0.9,5535.0,Confirmed planets,4.45419434,,1.07,19 59 37,,,0,Kepler-548,2.620427960209212e+26,0.7890940568313843,1.1368081545882098,G,#fff4ea
33,HD 114729 A b,-31 52 24,RV,2002.0,35.0,0.32,0.93,-0.22,1.46,,"""Confirmed planets,  Planets in binary systems,  S-type""",1135.0,0.84,,13 12 44,2.08,,2,HD 114729 A,,,,S-type binary,nan
34,CoRoT-24 b,-03 43 10,transit,2014.0,600.0,0.0,0.91,0.3,0.86,4950.0,Confirmed planets,5.1134,,0.33,06 47 41,0.056,1070.0,0,CoRoT-24,1.5305037683226828e+26,0.6030590811897228,0.8687969137010533,K,#ffd2a1
35,CoRoT-24 c,-03 43 10,transit,2014.0,600.0,0.0,0.91,0.3,0.86,4950.0,Confirmed planets,11.759,0.08800000000000001,0.44,06 47 41,0.098,850.0,0,CoRoT-24,1.5305037683226828e+26,0.6030590811897228,0.8687969137010533,K,#ffd2a1
36,Kepler-1105 b,+42 27 18,transit,2016.0,,,0.71,0.28,0.68,4299.0,Confirmed planets,4.42157218,,0.179,18 44 27,,,0,Kepler-1105,5.4438269452631495e+25,0.35966221577712776,0.5181472807367384,K,#ffd2a1
37,Kepler-211 c,+43 10 06,transit,2014.0,327.93,,0.914,,0.816,5123.0,Confirmed planets,6.04045,,0.11756,19 01 45,,,0,Kepler-211,1.580863768354042e+26,0.612900369371124,0.8829747630453934,K,#ffd2a1
38,Kepler-211 b,+43 10 06,transit,2014.0,327.93,,0.914,,0.816,5123.0,Confirmed planets,4.138575,,0.11482,19 01 45,,,0,Kepler-211,1.580863768354042e+26,0.612900369371124,0.8829747630453934,K,#ffd2a1
39,Kepler-294 c,+46 03 33,transit,2014.0,1698.68,,0.9940000000000001,,0.976,5913.0,Confirmed planets,6.6264,,0.24696,19 09 34,,,0,Kepler-294,4.0137272440829674e+26,0.9765997038338943,1.4069381178016318,G,#fff4ea
40,Kepler-294 b,+46 03 33,transit,2014.0,1698.68,,0.9940000000000001,,0.976,5913.0,Confirmed planets,3.701212,,0.1613,19 09 34,,,0,Kepler-294,4.0137272440829674e+26,0.9765997038338943,1.4069381178016318,G,#fff4ea
41,HD 164595 b,+29 34 18.9202,RV,2015.0,28.93,0.08800000000000001,0.99,-0.04,,5790.0,Confirmed planets,40.0,0.051,,18 00 38.89431,0.23,,0,HD 164595,,,,G,#fff4ea
42,Kepler-257 c,+46 01 23,transit,2014.0,1167.03,,0.74,,1.037,5180.0,Confirmed planets,6.581484,,0.4930100000000001,19 49 15,,,0,Kepler-257,2.668660065398312e+26,0.7963230530462899,1.1472226061677735,K,#ffd2a1
43,Kepler-257 b,+46 01 23,transit,2014.0,1167.03,,0.74,,1.037,5180.0,Confirmed planets,2.382667,,0.23785,19 49 15,,,0,Kepler-257,2.668660065398312e+26,0.7963230530462899,1.1472226061677735,K,#ffd2a1
44,Kepler-257 d,+46 01 23,transit,2014.0,1167.03,,0.74,,1.037,5180.0,Confirmed planets,24.664551,,0.45109,19 49 15,,,0,Kepler-257,2.668660065398312e+26,0.7963230530462899,1.1472226061677735,K,#ffd2a1
45,Kepler-214 c,+44 57 21,transit,2014.0,1070.66,,1.15,,1.352,6169.0,Confirmed planets,28.7798,,0.19411,18 59 01,,,0,Kepler-214,9.124922176687539e+26,1.4725065818051633,2.121366236875126,F,#f8f7ff
46,Kepler-214 b,+44 57 21,transit,2014.0,1070.66,,1.15,,1.352,6169.0,Confirmed planets,15.660544,,0.23785,18 59 01,,,0,Kepler-214,9.124922176687539e+26,1.4725065818051633,2.121366236875126,F,#f8f7ff
47,Kepler-1112 b,+47 45 05,transit,2016.0,,,1.34,0.04,1.54,6496.0,Confirmed planets,14.36267939,,0.269,19 47 53,,,0,Kepler-1112,1.4556005520176527e+27,1.8597893905350618,2.679305117905188,F,#f8f7ff
48,Kepler-130 c,+40 14 43,transit,2014.0,266.39,0.08,0.965,,1.127,5884.0,Confirmed planets,27.508653,,0.25608000000000003,19 13 48,0.17600000000000002,,0,Kepler-130,5.2475331803509145e+26,1.1166581930320987,1.608713345052958,G,#fff4ea
49,Kepler-130 b,+40 14 43,transit,2014.0,266.39,0.15,0.965,,1.127,5884.0,Confirmed planets,8.457458,,0.09295,19 13 48,0.08,,0,Kepler-130,5.2475331803509145e+26,1.1166581930320987,1.608713345052958,G,#fff4ea
50,Kepler-130 d,+40 14 43,transit,2014.0,266.39,,0.965,,1.127,5884.0,Confirmed planets,87.517905,,0.14945,19 13 48,0.381,,0,Kepler-130,5.2475331803509145e+26,1.1166581930320987,1.608713345052958,G,#fff4ea
51,WASP-108 b,-49 38 22.8,transit,2014.0,220.0,,1.167,0.05,1.215,6000.0,Confirmed planets,2.6755463,0.892,1.284,13 03 18.73,0.0397,1590.0,0,WASP-108,6.594384445007895e+26,1.2517851387370762,1.8033839454106046,nan,nan
52,K2-34 b,+22 14 09,transit,2016.0,377.0,0.0,1.281,0.24,1.526,6132.0,Confirmed planets,2.995607,1.78,1.35,08 30 19,0.04419,,0,K2-34,1.1348392732871896e+27,1.6421387090889292,2.365746718399316,F,#f8f7ff
53,Kepler-815 b,+47 52 53,transit,2016.0,,,1.25,-0.03,3.42,5028.0,Confirmed planets,8.57503552,,0.3670000000000001,19 00 53,,,0,Kepler-815,2.5766177435339454e+27,2.474387178722712,3.564725266941862,K,#ffd2a1
54,Kepler-1145 b,+43 02 40,transit,2016.0,,,0.79,-0.13,0.75,5064.0,Confirmed planets,3.97076766,,0.125,19 41 14,,,0,Kepler-1145,1.2750112590035075e+26,0.5504269250539592,0.7929724111963016,K,#ffd2a1
55,38 Vir b,-03 33 11.2,,2016.0,,0.03,1.18,0.07,1.45,6557.0,Confirmed planets,825.9,4.51,,12 53 11.16,1.82,,0,38 Vir,1.3395947725659925e+27,1.7841418570318706,2.5703235177823416,F,#f8f7ff
56,Kepler-1575 b,+45 45 42,transit,2016.0,,,0.95,-0.07,0.92,5667.0,Confirmed planets,2.55314213,,0.117,19 34 58,,,0,Kepler-1575,3.008882374237533e+26,0.8455616259670676,1.2181581438670357,G,#fff4ea
57,Kepler-1380 b,+42 26 26,transit,2016.0,,,0.96,0.1,0.94,5570.0,Confirmed planets,10.310824499999999,,0.128,19 12 28,,,0,Kepler-1380,2.9315222372616855e+26,0.8346209013661563,1.2023963917213374,G,#fff4ea
58,Kepler-189 c,+44 18 17,transit,2014.0,650.34,,0.8240000000000001,,0.75,5235.0,Confirmed planets,20.134866,,0.21689,19 10 15,,,0,Kepler-189,1.4561495349622192e+26,0.5882279385930348,0.8474304318478282,G,#fff4ea
59,Kepler-189 b,+44 18 17,transit,2014.0,650.34,,0.8240000000000001,,0.75,5235.0,Confirmed planets,10.399931,,0.11027,19 10 15,,,0,Kepler-189,1.4561495349622192e+26,0.5882279385930348,0.8474304318478282,G,#fff4ea
60,Kepler-327 b,+44 05 15,transit,2014.0,241.74,,0.547,,0.4920000000000001,3799.0,Confirmed planets,2.549575,,0.10115,19 30 34,,,0,Kepler-327,1.7378972050180364e+25,0.20321450442026306,0.2927609247029483,K,#ffd2a1
61,Kepler-327 d,+44 05 15,transit,2014.0,241.74,,0.547,,0.4920000000000001,3799.0,Confirmed planets,13.969457,,0.15766,19 30 34,,,0,Kepler-327,1.7378972050180364e+25,0.20321450442026306,0.2927609247029483,K,#ffd2a1
62,Kepler-327 c,+44 05 15,transit,2014.0,241.74,,0.547,,0.4920000000000001,3799.0,Confirmed planets,5.212333,,0.09386,19 30 34,,,0,Kepler-327,1.7378972050180364e+25,0.20321450442026306,0.2927609247029483,K,#ffd2a1
63,Kepler-1071 b,+45 14 56,transit,2016.0,,,0.86,0.01,0.81,5215.0,Confirmed planets,6.1799844,,0.212,19 32 14,,,0,Kepler-1071,1.6726458364125908e+26,0.6304413015694396,0.9082451026069357,G,#fff4ea
64,Kepler-101 b,+48 21 18.84,transit,2014.0,990.44,0.086,1.17,,1.56,5667.0,Confirmed planets,3.4876812000000004,0.161,0.515,18 53 01.32,0.0474,,0,Kepler-101,8.651247809480694e+26,1.4337784092485057,2.0655725048180167,G,#fff4ea
65,Kepler-101 c,+48 21 18.84,transit,2014.0,990.44,,1.17,,1.56,5667.0,Confirmed planets,6.02976,,0.112,18 53 01.32,0.0684,,0,Kepler-101,8.651247809480694e+26,1.4337784092485057,2.0655725048180167,G,#fff4ea
66,Kepler-156 c,+37 44 58,transit,2014.0,482.88,,0.737,,0.807,5094.0,Confirmed planets,15.906801000000002,,0.23238000000000006,19 21 11,,,0,Kepler-156,1.5114700185850438e+26,0.5992974483028529,0.8633777182282952,K,#ffd2a1
67,Kepler-156 b,+37 44 58,transit,2014.0,482.88,,0.737,,0.807,5094.0,Confirmed planets,4.973456,,0.2096,19 21 11,,,0,Kepler-156,1.5114700185850438e+26,0.5992974483028529,0.8633777182282952,K,#ffd2a1
68,HIP 11952 b,-12 23 03,RV,2012.0,111.0,0.27,0.83,-1.9,1.6,6040.0,Controversial,290.0,2.93,,02 34 11,0.81,372.6,0,HIP 11952,1.1743685841687077e+27,1.6704938168212349,2.4065964972251126,F,#f8f7ff
69,HIP 11952 c,-12 23 03,RV,2012.0,111.0,0.35,0.83,-1.9,1.6,6040.0,Controversial,6.95,0.78,,02 34 11,0.07,1263.2,0,HIP 11952,1.1743685841687077e+27,1.6704938168212349,2.4065964972251126,F,#f8f7ff
70,HD 122430 b,-27 25 47,RV,2003.0,135.0,0.68,1.68,-0.09,22.9,4300.0,Controversial,344.95,3.71,,14 02 22,1.02,868.8,0,HD 122430,6.1796160433318275e+28,12.117789557137435,17.457490478959844,K,#ffd2a1
71,Kepler-827 b,+42 42 31,transit,2016.0,,,0.93,-0.06,0.91,5602.0,Confirmed planets,51.92927591,,0.502,19 39 52,,,0,Kepler-827,2.81107160040795e+26,0.8172945706444696,1.1774352177231477,G,#fff4ea
72,Kepler-344 b,+46 19 27,transit,2014.0,1307.52,,0.93,,0.976,5774.0,Confirmed planets,21.963945,,0.23785,19 29 59,,,0,Kepler-344,3.649416728899016e+26,0.9312244910608436,1.3415683289279063,G,#fff4ea
73,Kepler-344 c,+46 19 27,transit,2014.0,1307.52,,0.93,,0.976,5774.0,Confirmed planets,125.596809,,0.26883,19 29 59,,,0,Kepler-344,3.649416728899016e+26,0.9312244910608436,1.3415683289279063,G,#fff4ea
74,Kepler-859 b,+43 11 24,transit,2016.0,,,0.81,-0.02,0.77,5020.0,Confirmed planets,20.38177573,,0.276,19 06 58,,,0,Kepler-859,1.2978157009303177e+26,0.5553274892975983,0.8000324078418509,K,#ffd2a1
75,Kepler-227 b,+48 08 29,transit,2014.0,1481.07,,0.92,,1.091,5854.0,Confirmed planets,9.488015,,0.28342,19 27 44,,,0,Kepler-227,4.818114078516463e+26,1.069993647633329,1.5414860794561411,G,#fff4ea
76,Kepler-227 c,+48 08 29,transit,2014.0,1481.07,,0.92,,1.091,5854.0,Confirmed planets,54.418694,,0.27704,19 27 44,,,0,Kepler-227,4.818114078516463e+26,1.069993647633329,1.5414860794561411,G,#fff4ea
77,Kepler-843 b,+48 58 17,transit,2016.0,,,1.02,0.05,1.03,5830.0,Confirmed planets,2.05387982,,0.231,19 45 17,,,0,Kepler-843,4.224403302387795e+26,1.0019022382048748,1.4433902075818814,G,#fff4ea
78,Kepler-404 b,+45 20 36,transit,2014.0,1059.76,,0.925,,0.884,5654.0,Confirmed planets,11.829851,,0.11574,19 05 35,,,0,Kepler-404,2.7526085317843446e+26,0.8087511028445363,1.1651270729850847,G,#fff4ea
79,Kepler-404 c,+45 20 36,transit,2014.0,1059.76,,0.925,,0.884,5654.0,Confirmed planets,14.751166,,0.15674000000000002,19 05 35,,,0,Kepler-404,2.7526085317843446e+26,0.8087511028445363,1.1651270729850847,G,#fff4ea
80,Kepler-1483 b,+42 09 03,transit,2016.0,,,1.25,0.04,1.4,6337.0,Confirmed planets,9.5085156,,0.136,19 41 38,,,0,Kepler-1483,1.0894507567041223e+27,1.6089645019390073,2.3179543052090996,F,#f8f7ff
81,Gliese 86 b,-50 49 25.4179,RV,2000.0,10.783,0.0416,0.8,-0.24,0.855,5188.0,"""Confirmed planets,  Planets in binary systems,  S-type""",15.76491,3.91,,02 10 25.93425,0.113,,2,Gliese 86,1.8253611546670737e+26,0.6585929267908708,0.9488017344045979,S-type binary,nan
82,Kepler-1314 b,+45 11 50,transit,2016.0,,,0.6,-0.22,0.59,4188.0,Confirmed planets,5.42474928,,0.456,19 36 57,,,0,Kepler-1314,3.691028684766129e+25,0.2961531594836399,0.4266529747543199,K,#ffd2a1
83,Kepler-1099 b,+48 16 38,transit,2016.0,,,1.01,-0.02,1.0,5837.0,Confirmed planets,2.16845259,,0.252,19 14 59.9,,,0,Kepler-1099,4.001063815298489e+26,0.9750578862029291,1.4047168986192098,G,#fff4ea
84,HD 145377 b,-27 04 41.4286,RV,2008.0,55.0,0.307,1.12,0.12,1.14,6046.0,Confirmed planets,103.95,5.76,,16 11 36.44543,0.45,,0,HD 145377,5.985479932034993e+26,1.1925927080945846,1.7181083850870522,F,#f8f7ff
85,HD 75289 A b,-41 44 12,RV,1999.0,28.94,0.024,1.05,0.29,1.25,,"""Confirmed planets,  Planets in binary systems,  S-type""",3.5098,0.42,,08 47 40,0.046,,2,HD 75289 A,,,,S-type binary,nan
86,HD 5608 b,+33 57 03.1843,RV,2012.0,56.4,0.19,1.55,0.06,5.5,4854.0,Confirmed planets,792.6,1.4,,00 58 14.21893,1.9,,0,HD 5608,5.788168587387616e+27,3.708627770882133,5.342833665736237,K,#ffd2a1
87,HATS-28 b,-49 51 41,transit,2016.0,521.0,0.101,0.929,0.01,0.922,5498.0,Confirmed planets,3.1810781,0.672,1.194,18 57 36,0.04131,,0,HATS-28,2.6773027812209007e+26,0.7976114956281635,1.1490788006494228,G,#fff4ea
88,Kepler-1187 b,+38 19 07,transit,2016.0,,,1.06,-0.01,1.09,5975.0,Confirmed planets,18.87064068,,0.233,19 07 34,,,0,Kepler-1187,5.2194091114698384e+26,1.1136618171536716,1.60439661689702,G,#fff4ea
89,HD 68988 b,+61 27 38,RV,2001.0,58.0,0.14,1.2,0.24,1.14,5767.0,Confirmed planets,6.276,1.9,,08 18 22,0.071,1017.7,0,HD 68988,4.954800962947885e+26,1.0850650292049828,1.5631986615282523,G,#fff4ea
90,Kepler-1612 b,+45 39 18,transit,2016.0,,,0.96,0.03,0.94,5643.0,Confirmed planets,3.91795101,,0.092,19 25 00,,,0,Kepler-1612,3.088251160488903e+26,0.8566412174410628,1.2341199545385297,G,#fff4ea
91,HD 183263 b,+08 21 29.003,RV,2004.0,54.02,0.3728,1.121,0.302,1.117,5936.0,Confirmed planets,625.1,3.635,,19 28 24.5718,1.486,,0,HD 183263,5.339475773159924e+26,1.1263982582154262,1.6227453675105716,G,#fff4ea
92,HD 183263 c,+08 21 29.003,RV,2008.0,54.02,0.073,1.121,0.302,1.117,5936.0,Confirmed planets,5048.0,9.0,,19 28 24.5718,5.98,,0,HD 183263,5.339475773159924e+26,1.1263982582154262,1.6227453675105716,G,#fff4ea
93,HD 154672 b,-56 26 57,RV,2008.0,65.8,0.61,1.06,0.26,1.27,5714.0,Confirmed planets,163.91,5.02,,17 10 05,0.6,357.1,0,HD 154672,5.9263199043213536e+26,1.1866843245955299,1.7095964738845644,G,#fff4ea
94,Kepler-761 b,+44 08 37,transit,2016.0,,,0.95,-0.09,0.93,5706.0,Confirmed planets,10.12804789,,0.181,19 22 01,,,0,Kepler-761,3.160164364075262e+26,0.8665577202229002,1.2484061617780786,G,#fff4ea
95,Kepler-1417 b,+40 36 19,transit,2016.0,,,1.02,0.02,1.02,5839.0,Confirmed planets,20.3505213,,0.08900000000000001,19 23 48,,,0,Kepler-1417,4.168414995263538e+26,0.995240715630028,1.4337932867592003,G,#fff4ea
96,Kepler-196 b,+42 04 45,transit,2014.0,470.92,,,,0.782,5128.0,Confirmed planets,20.739886,,0.17315,18 59 52,,,0,Kepler-196,1.4575460242854238e+26,0.588509934762042,0.847836689557812,K,#ffd2a1
97,Kepler-196 c,+42 04 45,transit,2014.0,470.92,,,,0.782,5128.0,Confirmed planets,47.427737,,0.20413,18 59 52,,,0,Kepler-196,1.4575460242854238e+26,0.588509934762042,0.847836689557812,K,#ffd2a1
98,Kepler-695 b,+40 49 21,transit,2016.0,,,0.84,-0.01,0.8,5181.0,Confirmed planets,3.04033042,,0.8220000000000001,19 57 16,,,0,Kepler-695,1.5894652889287366e+26,0.6145655107905107,0.8853736486126,K,#ffd2a1
99,beta Ursae Minoris b,+74 09 19.8142,RV,2014.0,40.14,0.19,1.4,-0.27,38.3,4126.0,Confirmed planets,522.3,6.1,,14 50 42.32580,1.4,,0,beta Ursae Minoris,1.465315513248253e+29,18.65985367520019,26.88231350590837,K,#ffd2a1
100,Kepler-225 c,+47 27 25,transit,2014.0,342.18,,,,0.48,3682.0,Confirmed planets,18.794234,,0.16768,19 28 46,,,0,Kepler-225,1.4596015518409498e+25,0.18623436320675713,0.2682984885326837,M,#ffcc6f
101,Kepler-225 b,+47 27 25,transit,2014.0,342.18,,,,0.48,3682.0,Confirmed planets,6.738975,,0.10935999999999997,19 28 46,,,0,Kepler-225,1.4596015518409498e+25,0.18623436320675713,0.2682984885326837,M,#ffcc6f
102,Kepler-409 b,+46 51 09,transit,2014.0,69.2,,0.92,0.08,0.89,5460.0,Confirmed planets,68.9584,,0.108445,19 34 43,,,0,Kepler-409,2.4264273306905695e+26,0.7593225623995669,1.0939178586198555,G,#fff4ea
103,OGLE-TR-10 b,-29 52 34,transit,2004.0,1500.0,0.0,1.277,0.28,1.52,6075.0,Confirmed planets,3.10129,0.68,1.72,17 51 28,0.045160000000000006,1702.0,0,OGLE-TR-10,1.0846484750051766e+27,1.6054144404303,2.3128399099891004,F,#f8f7ff
104,Kepler-128 b,+43 58 48.64,transit,2013.0,368.14,,1.17,,1.55,6090.0,Confirmed planets,15.09,0.00409,0.10298,18 49 58.128,,,0,Kepler-128,1.1390670047721376e+27,1.6451946782394045,2.3701492995876476,F,#f8f7ff
105,Kepler-128 c,+43 58 48.64,transit,2013.0,368.14,,1.17,,1.55,6090.0,Confirmed planets,22.804,0.00472,0.10298,18 49 58.128,,,0,Kepler-128,1.1390670047721376e+27,1.6451946782394045,2.3701492995876476,F,#f8f7ff
106,WASP-11 b,+30 40 25,transit,2008.0,121.7,0.0,0.82,0.13,0.81,4974.0,"""Confirmed planets,  Planets in binary systems,  S-type""",3.722469,0.46,1.045,03 09 29,0.0439,943.2,2,WASP-11,1.3842351289036389e+26,0.5735187136872045,0.8262395906852862,S-type binary,nan
107,Kepler-834 b,+45 10 49,transit,2016.0,,,0.7,-0.13,0.66,4554.0,Confirmed planets,13.32388301,,0.18,19 08 13,,,0,Kepler-834,6.457682390449685e+25,0.39172473973317173,0.5643381478131828,K,#ffd2a1
108,HATS-18 b,-29 09 21.6,transit,2016.0,645.0,0.166,1.037,0.28,1.02,5600.0,Confirmed planets,0.8378434000000001,1.98,1.337,11 35 49.78,0.01761,,0,HATS-18,3.5267051868696415e+26,0.915434421349122,1.3188203689674918,G,#fff4ea
109,Kepler-654 b,+46 50 03,transit,2016.0,,,1.04,0.04,1.11,5865.0,Confirmed planets,13.72465129,,0.185,19 48 16,,,0,Kepler-654,5.0249845221371726e+26,1.0927228488309768,1.57423089744719,G,#fff4ea
