,PlanetIdentifier,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,ListsPlanetIsOn,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar,HostStarLuminosity,HostStarInnerHabitabilityAU,HostStarOuterHabitabilityAU,HostStarClass,HostStarColor
3081,Omega Serpentis b,+02 11 47.44,RV,2013.0,83.8,0.106,2.17,-0.24,12.3,4770.0,Confirmed planets,277.02,1.7,,15 50 17.55,1.1,,0,Omega Serpentis,2.6996063688525007e+28,8.009269035733908,11.538551422721886,K,#ffd2a1
3082,Kepler-96 b,+40 31 30,transit,2014.0,128.0,,1.0,0.04,1.02,5690.0,Confirmed planets,16.2385,,0.243318,19 48 17,,,0,Kepler-96,3.758946236391307e+26,0.9450955474821846,1.3615516628739928,G,#fff4ea
3083,Kepler-1227 b,+41 52 30,transit,2016.0,,,0.97,-0.04,0.95,5747.0,Confirmed planets,94.2887577,,0.204,19 08 16,,,0,Kepler-1227,3.393350373242066e+26,0.8979600431381042,1.2936459103910176,G,#fff4ea
3084,Kepler-888 b,+49 44 19,transit,2016.0,,,0.97,-0.21,0.9,5875.0,Confirmed planets,70.6979061,,0.157,19 42 05,,,0,Kepler-888,3.3260839583894565e+26,0.8890153586259648,1.2807597528973849,G,#fff4ea
3085,HIP 57274 b,+30 57 33,RV,2011.0,25.92,0.187,0.73,0.09,0.68,4640.0,Confirmed planets,8.1352,0.036000000000000004,,11 44 41,0.07,636.3,0,HIP 57274,7.3876523930565165e+25,0.4189825025059112,0.6036070368988631,K,#ffd2a1
3086,HIP 57274 c,+30 57 33,RV,2011.0,25.92,0.05,0.73,0.09,0.68,4640.0,Confirmed planets,32.03,0.41,,11 44 41,0.17800000000000002,399.8,0,HIP 57274,7.3876523930565165e+25,0.4189825025059112,0.6036070368988631,K,#ffd2a1
3087,HIP 57274 d,+30 57 33,RV,2011.0,25.92,0.27,0.73,0.09,0.68,4640.0,Confirmed planets,431.7,0.527,,11 44 41,1.01,167.1,0,HIP 57274,7.3876523930565165e+25,0.4189825025059112,0.6036070368988631,K,#ffd2a1
3088,Kepler-334 c,+47 06 54,transit,2014.0,439.8,,1.06,,1.068,5828.0,Confirmed planets,12.758005,,0.13032,19 08 33,,,0,Kepler-334,4.5356275311335566e+26,1.0381529717134699,1.4956148176972517,G,#fff4ea
3089,Kepler-334 b,+47 06 54,transit,2014.0,439.8,,1.06,,1.068,5828.0,Confirmed planets,5.470319,,0.10207,19 08 33,,,0,Kepler-334,4.5356275311335566e+26,1.0381529717134699,1.4956148176972517,G,#fff4ea
3090,Kepler-334 d,+47 06 54,transit,2014.0,439.8,,1.06,,1.068,5828.0,Confirmed planets,25.09849,,0.12849000000000002,19 08 33,,,0,Kepler-334,4.5356275311335566e+26,1.0381529717134699,1.4956148176972517,G,#fff4ea
